inventory_id,part_id,warehouse_id,depot_id,available_qty,reserved_qty,in_transit_qty,obsolete_qty,stockout_flag,days_of_cover
INV-0057,BG-BOILE-057,W-COV,D-SCO,1341,198,124,42,False,31.2
INV-0058,BG-PIPEW-058,W-GLA,D-SCO,997,331,40,47,False,7.9
INV-0059,BG-BOILE-059,W-MAN,D-NTH,859,47,97,48,False,35.3
INV-0060,BG-SENSO-060,W-MAN,D-NTH,1511,344,20,24,False,13.8
INV-0061,BG-SENSO-061,W-LON,D-MID,963,411,111,42,False,11.6
INV-0062,BG-VALVE-062,W-MAN,D-MID,1777,155,7,24,False,43.5
INV-0063,BG-EV-063,W-LON,D-WAL,396,379,60,61,True,1.0
INV-0064,BG-PUMP-064,W-LON,D-MID,55,15,104,30,True,2.8
INV-0065,BG-VALVE-065,W-GLA,D-WAL,584,282,164,48,False,5.9
INV-0066,BG-BOILE-066,W-LON,D-NTH,549,238,183,46,False,11.1
INV-0067,BG-BOILE-067,W-COV,D-SCO,750,262,254,60,False,13.2
INV-0068,BG-SENSO-068,W-MAN,D-LON,1698,389,163,47,False,16.6
INV-0069,BG-PUMP-069,W-MAN,D-WAL,1150,160,211,28,False,47.4
INV-0070,BG-SENSO-070,W-LON,D-WAL,87,18,8,74,True,1.9
INV-0071,BG-PUMP-071,W-MAN,D-SCO,679,296,213,25,False,13.7
INV-0072,BG-SENSO-072,W-GLA,D-SCO,1046,168,117,31,False,20.0
INV-0073,BG-EV-073,W-COV,D-WAL,861,255,172,62,False,19.1
INV-0074,BG-PUMP-074,W-MAN,D-WAL,1485,370,251,45,False,24.6
INV-0075,BG-PIPEW-075,W-COV,D-WAL,310,86,71,62,True,4.0
INV-0076,BG-PIPEW-076,W-LON,D-STH,650,94,30,9,False,9.7
INV-0077,BG-VALVE-077,W-MAN,D-WAL,1795,418,24,52,False,18.0
INV-0078,BG-VALVE-078,W-MAN,D-SCO,1084,70,118,19,False,42.0
INV-0079,BG-SENSO-079,W-MAN,D-NTH,1257,4,111,47,False,23.2
INV-0080,BG-SENSO-080,W-LON,D-NTH,1587,30,247,2,False,25.7
INV-0081,BG-PUMP-081,W-LON,D-NTH,597,3,210,67,False,35.2
INV-0082,BG-EV-082,W-GLA,D-SCO,597,369,140,36,False,6.0
INV-0083,BG-PIPEW-083,W-GLA,D-MID,421,8,257,86,False,8.2
INV-0084,BG-BOILE-084,W-MAN,D-STH,504,220,91,12,False,12.6
INV-0085,BG-VALVE-085,W-MAN,D-LON,1477,268,76,79,False,32.5
INV-0086,BG-SENSO-086,W-GLA,D-NTH,985,269,129,34,False,10.4
INV-0087,BG-METER-087,W-COV,D-MID,1343,407,203,51,False,41.0
INV-0088,BG-PUMP-088,W-MAN,D-STH,1720,235,124,28,False,17.1
INV-0089,BG-EV-089,W-GLA,D-NTH,619,153,41,83,False,7.3
INV-0090,BG-PUMP-090,W-GLA,D-MID,282,16,47,48,True,6.1
