engineer_id,engineer_name,region,depot_id,skill_type,shift_start,shift_end,availability_status,van_id,current_location,utilization_rate,productivity_score
E-0081,Engineer 081,Wales,D-WAL,EV Charger,08:00,17:00,On Job,V-0081,NP13 9HA,64,86
E-0082,Engineer 082,South,D-MID,Gas Safe,08:00,17:00,On Job,V-0082,SO44 7BF,89,84
E-0083,Engineer 083,London,D-STH,Electrical,08:00,18:00,Available,V-0083,E31 5DB,82,66
E-0084,Engineer 084,South,D-STH,Gas Safe,08:00,17:00,Available,V-0084,SO4 1FA,73,82
E-0085,Engineer 085,London,D-SCO,Boiler,08:00,16:00,Available,V-0085,W88 3CC,60,84
E-0086,Engineer 086,North,D-STH,Boiler,08:00,17:00,Off Shift,V-0086,LS30 8EH,71,60
E-0087,Engineer 087,Midlands,D-NTH,EV Charger,08:00,16:00,Available,V-0087,DE76 5GE,84,79
E-0088,Engineer 088,Wales,D-SCO,Electrical,08:00,16:00,Available,V-0088,SY46 5EA,80,77
E-0089,Engineer 089,Scotland,D-WAL,Gas Safe,08:00,18:00,On Job,V-0089,AB30 6DD,94,76
E-0090,Engineer 090,South,D-STH,Boiler,08:00,18:00,Available,V-0090,BN40 8AK,78,68
E-0091,Engineer 091,Scotland,D-NTH,Smart Meter,08:00,18:00,Available,V-0091,EH17 9FJ,87,77
E-0092,Engineer 092,Wales,D-NTH,Electrical,08:00,17:00,On Job,V-0092,LL15 8BC,69,85
E-0093,Engineer 093,North,D-NTH,Gas Safe,08:00,17:00,Available,V-0093,YO16 8FE,92,84
E-0094,Engineer 094,South,D-NTH,Gas Safe,08:00,18:00,Available,V-0094,BN80 9FK,69,64
E-0095,Engineer 095,South,D-SCO,Smart Meter,08:00,18:00,Available,V-0095,PO6 1EH,62,66
E-0096,Engineer 096,Wales,D-WAL,Boiler,08:00,17:00,Available,V-0096,SY54 3GB,86,86
E-0097,Engineer 097,London,D-LON,Smart Meter,08:00,16:00,Available,V-0097,N47 2FJ,96,82
E-0098,Engineer 098,Scotland,D-SCO,Smart Meter,08:00,16:00,Sick,V-0098,DD12 4KA,58,81
E-0099,Engineer 099,Wales,D-MID,EV Charger,08:00,16:00,Available,V-0099,SY27 4DF,64,98
E-0100,Engineer 100,Scotland,D-NTH,Boiler,08:00,16:00,Available,V-0100,EH15 1CA,77,75
E-0101,Engineer 101,North,D-NTH,Gas Safe,08:00,16:00,Available,V-0101,LS95 7JB,59,90
E-0102,Engineer 102,Midlands,D-NTH,EV Charger,08:00,18:00,Available,V-0102,NG29 1JE,84,61
E-0103,Engineer 103,Scotland,D-SCO,Electrical,08:00,17:00,On Job,V-0103,DD92 8BB,75,98
E-0104,Engineer 104,Wales,D-LON,Boiler,08:00,17:00,On Job,V-0104,SY71 6GK,88,78
E-0105,Engineer 105,Midlands,D-WAL,EV Charger,08:00,17:00,Available,V-0105,B84 9DG,83,74
E-0106,Engineer 106,Midlands,D-NTH,Electrical,08:00,17:00,Available,V-0106,B41 7FE,78,69
E-0107,Engineer 107,South,D-SCO,Gas Safe,08:00,16:00,On Job,V-0107,BN56 2FC,90,63
E-0108,Engineer 108,North,D-WAL,EV Charger,08:00,17:00,On Job,V-0108,L46 7AE,93,79
E-0109,Engineer 109,London,D-LON,EV Charger,08:00,18:00,Available,V-0109,SW29 2FJ,78,67
E-0110,Engineer 110,London,D-WAL,Boiler,08:00,17:00,On Job,V-0110,W79 9AK,72,61
E-0111,Engineer 111,Wales,D-NTH,Smart Meter,08:00,17:00,Available,V-0111,SA19 7BC,95,61
E-0112,Engineer 112,Scotland,D-STH,EV Charger,08:00,16:00,Available,V-0112,DD44 3FE,75,96
E-0113,Engineer 113,North,D-LON,Gas Safe,08:00,16:00,Available,V-0113,YO7 2EH,82,91
E-0114,Engineer 114,North,D-SCO,Electrical,08:00,17:00,Available,V-0114,YO15 6GB,73,97
E-0115,Engineer 115,Midlands,D-WAL,Smart Meter,08:00,16:00,Available,V-0115,NG8 1DE,68,68
E-0116,Engineer 116,London,D-NTH,Smart Meter,08:00,16:00,Available,V-0116,SW23 3GJ,69,92
E-0117,Engineer 117,North,D-STH,Smart Meter,08:00,16:00,Available,V-0117,M56 1HB,75,96
E-0118,Engineer 118,Midlands,D-WAL,Electrical,08:00,18:00,On Job,V-0118,DE15 7AF,65,89
E-0119,Engineer 119,South,D-NTH,Gas Safe,08:00,17:00,On Job,V-0119,PO56 7JB,80,79
E-0120,Engineer 120,South,D-NTH,Boiler,08:00,17:00,On Job,V-0120,BN66 2JJ,67,82
