job_id,customer_id,region,postcode,job_type,priority,SLA_window,requested_date,scheduled_date,engineer_id,required_part_id,job_status,completion_status,first_time_fix_flag,delay_reason
J-00044,CU-6606,North,YO89 4CB,Smart Meter Exchange,Low,4h,2026-06-19T08:00,2026-06-20T16:00,E-0042,BG-PIPEW-014,Rescheduled,Complete,True,Weather
J-00045,CU-6885,Midlands,B37 1DG,Smart Meter Exchange,Low,Next Day,2026-06-13T08:00,2026-06-13T15:00,E-0056,BG-SENSO-079,Rescheduled,Open,True,Engineer absence
J-00046,CU-1620,South,OX62 6BK,Emergency,Critical,Same Day,2026-06-17T08:00,2026-06-09T16:00,E-0067,BG-METER-054,Scheduled,Complete,True,Parts unavailable
J-00047,CU-4869,Wales,NP24 9AF,Repair,High,Same Day,2026-06-16T08:00,2026-06-14T15:00,E-0031,BG-PUMP-074,At Risk,Open,True,Parts unavailable
J-00048,CU-5429,Wales,LL13 5KG,Emergency,High,Same Day,2026-06-17T08:00,2026-06-11T11:00,E-0041,BG-VALVE-049,Rescheduled,Complete,True,Engineer absence
J-00049,CU-6298,Wales,LL21 2EA,Emergency,Low,Next Day,2026-06-02T08:00,2026-06-09T13:00,E-0023,BG-BOILE-005,At Risk,Complete,True,Weather
J-00050,CU-7563,Scotland,G81 2FJ,Install,Critical,48h,2026-06-10T08:00,2026-06-21T12:00,E-0023,BG-BOILE-005,Rescheduled,Complete,True,Weather
J-00051,CU-1750,North,LS90 3AC,Repair,Medium,4h,2026-06-15T08:00,2026-06-20T11:00,E-0107,BG-PIPEW-083,Rescheduled,Complete,True,None
J-00052,CU-8798,South,PO27 3EJ,Emergency,Low,Same Day,2026-06-06T08:00,2026-06-20T09:00,E-0077,BG-PIPEW-048,In Progress,Customer Cancelled,True,Carrier delay
J-00053,CU-4769,London,E42 4BD,Emergency,High,48h,2026-06-08T08:00,2026-06-03T16:00,E-0075,BG-EV-027,At Risk,Complete,True,Weather
J-00054,CU-8581,Scotland,AB2 7DD,Install,Low,Same Day,2026-06-19T08:00,2026-06-05T09:00,E-0054,BG-BOILE-036,Scheduled,Complete,True,Weather
J-00055,CU-2326,South,OX43 1JF,Repair,Critical,48h,2026-06-12T08:00,2026-06-15T09:00,E-0047,BG-BOILE-059,Completed,Open,True,Engineer absence
J-00056,CU-1371,South,SO54 9CH,Install,Low,48h,2026-06-01T08:00,2026-06-10T12:00,E-0009,BG-PUMP-069,Scheduled,Open,True,Carrier delay
J-00057,CU-9845,London,N69 5BA,Emergency,Low,Same Day,2026-06-15T08:00,2026-06-11T11:00,E-0001,BG-PUMP-037,Rescheduled,Failed Visit,True,Engineer absence
J-00058,CU-8006,London,SE50 6AE,Install,Medium,Next Day,2026-06-15T08:00,2026-06-18T10:00,E-0028,BG-EV-008,At Risk,Customer Cancelled,True,Weather
J-00059,CU-5303,Scotland,AB82 8BE,Emergency,High,48h,2026-06-08T08:00,2026-06-01T10:00,E-0098,BG-METER-001,Completed,Customer Cancelled,False,None
J-00060,CU-7750,North,NE21 2DC,Smart Meter Exchange,High,Same Day,2026-06-18T08:00,2026-06-20T17:00,E-0109,BG-EV-082,Rescheduled,Complete,True,Weather
J-00061,CU-8685,North,M33 1BE,Repair,Critical,4h,2026-06-07T08:00,2026-06-19T12:00,E-0024,BG-METER-044,Completed,Complete,True,None
J-00062,CU-2895,Wales,NP37 8KE,Emergency,High,48h,2026-06-10T08:00,2026-06-14T12:00,E-0110,BG-BOILE-057,Scheduled,Customer Cancelled,True,Engineer absence
J-00063,CU-5107,South,RG64 4CA,Repair,Critical,4h,2026-06-16T08:00,2026-06-01T11:00,E-0049,BG-BOILE-022,Rescheduled,Failed Visit,False,Parts unavailable
J-00064,CU-7189,Scotland,IV87 6EF,Repair,Critical,4h,2026-06-05T08:00,2026-06-12T14:00,E-0104,BG-EV-023,Rescheduled,Complete,True,Engineer absence
J-00065,CU-6563,London,N79 5FG,Service,Low,4h,2026-06-18T08:00,2026-06-07T13:00,E-0034,BG-BOILE-005,Scheduled,Failed Visit,True,Carrier delay
J-00066,CU-1981,London,W26 6HC,Service,High,Next Day,2026-06-14T08:00,2026-06-14T14:00,E-0111,BG-SENSO-056,Scheduled,Open,True,Weather
J-00067,CU-3302,Wales,SA15 9BJ,Smart Meter Exchange,Medium,48h,2026-06-03T08:00,2026-06-08T10:00,E-0099,BG-BOILE-021,Completed,Failed Visit,True,Carrier delay
J-00068,CU-3625,South,RG81 6GA,Install,Critical,48h,2026-06-16T08:00,2026-06-14T14:00,E-0092,BG-VALVE-078,At Risk,Complete,True,Parts unavailable
J-00069,CU-8576,South,PO34 3AG,Smart Meter Exchange,Low,Next Day,2026-06-05T08:00,2026-06-03T14:00,E-0022,BG-BOILE-084,Rescheduled,Complete,True,None
J-00070,CU-4847,Wales,NP46 1AE,Smart Meter Exchange,Low,Next Day,2026-06-13T08:00,2026-06-12T11:00,E-0115,BG-SENSO-080,Rescheduled,Complete,True,Carrier delay
J-00071,CU-6841,London,W63 8HB,Service,Critical,Next Day,2026-06-03T08:00,2026-06-07T13:00,E-0024,BG-BOILE-034,In Progress,Failed Visit,False,Carrier delay
J-00072,CU-7535,South,BN3 4CG,Emergency,Medium,Same Day,2026-06-04T08:00,2026-06-10T16:00,E-0103,BG-VALVE-062,At Risk,Failed Visit,True,Engineer absence
J-00073,CU-1781,Scotland,IV10 1JB,Smart Meter Exchange,Low,48h,2026-06-04T08:00,2026-06-15T13:00,E-0046,BG-EV-006,Completed,Complete,True,Carrier delay
J-00074,CU-8974,Midlands,DE80 6GE,Repair,High,Same Day,2026-06-01T08:00,2026-06-07T10:00,E-0105,BG-SENSO-086,Scheduled,Open,True,None
J-00075,CU-6174,London,W9 5GH,Repair,Low,Next Day,2026-06-15T08:00,2026-06-14T09:00,E-0021,BG-EV-073,Completed,Open,True,Weather
J-00076,CU-2043,Scotland,AB56 2KD,Repair,High,48h,2026-06-09T08:00,2026-06-11T14:00,E-0099,BG-SENSO-086,Scheduled,Failed Visit,False,Parts unavailable
J-00077,CU-1487,Wales,NP19 1JB,Repair,Medium,Next Day,2026-06-13T08:00,2026-06-06T15:00,E-0008,BG-BOILE-057,At Risk,Complete,True,Engineer absence
J-00078,CU-4954,Midlands,DE93 7JB,Repair,Medium,Next Day,2026-06-17T08:00,2026-06-12T10:00,E-0007,BG-BOILE-026,Scheduled,Customer Cancelled,True,Traffic
J-00079,CU-8499,Midlands,CV91 9JB,Service,Low,48h,2026-06-02T08:00,2026-06-06T17:00,E-0048,BG-BOILE-011,Scheduled,Customer Cancelled,False,None
J-00080,CU-8357,Wales,SA94 6BK,Smart Meter Exchange,Low,48h,2026-06-08T08:00,2026-06-13T14:00,E-0070,BG-PUMP-024,Scheduled,Customer Cancelled,True,Engineer absence
J-00081,CU-3772,Midlands,B79 6CA,Repair,Medium,48h,2026-06-04T08:00,2026-06-11T11:00,E-0053,BG-BOILE-011,Completed,Failed Visit,True,Weather
J-00082,CU-3332,London,SE70 3DJ,Emergency,Low,4h,2026-06-01T08:00,2026-06-15T13:00,E-0084,BG-SENSO-060,In Progress,Complete,False,None
J-00083,CU-1156,North,LS53 9HG,Smart Meter Exchange,Critical,4h,2026-06-18T08:00,2026-06-01T16:00,E-0087,BG-BOILE-036,Scheduled,Failed Visit,True,Weather
J-00084,CU-2070,Wales,SY17 2CE,Smart Meter Exchange,High,Next Day,2026-06-07T08:00,2026-06-01T17:00,E-0079,BG-PUMP-064,Completed,Customer Cancelled,True,None
J-00085,CU-8184,Midlands,B81 8KB,Repair,Critical,4h,2026-06-13T08:00,2026-06-11T10:00,E-0101,BG-EV-010,In Progress,Complete,True,Weather
J-00086,CU-8887,Midlands,NG57 3DC,Repair,Critical,Same Day,2026-06-10T08:00,2026-06-19T15:00,E-0066,BG-SENSO-080,Completed,Failed Visit,True,Carrier delay
J-00087,CU-8643,Wales,SY28 4HF,Emergency,High,48h,2026-06-06T08:00,2026-06-01T14:00,E-0002,BG-EV-082,Scheduled,Failed Visit,True,None
J-00088,CU-2071,North,M19 3DD,Smart Meter Exchange,Low,Next Day,2026-06-11T08:00,2026-06-20T15:00,E-0082,BG-BOILE-032,In Progress,Complete,True,Carrier delay
J-00089,CU-3200,Wales,CF38 8JF,Service,Critical,48h,2026-06-17T08:00,2026-06-20T14:00,E-0055,BG-BOILE-042,At Risk,Customer Cancelled,True,Weather
J-00090,CU-9399,Scotland,EH51 4DD,Emergency,High,48h,2026-06-15T08:00,2026-06-11T10:00,E-0041,BG-VALVE-016,In Progress,Customer Cancelled,True,Engineer absence
J-00091,CU-5991,Midlands,B22 2JC,Repair,Low,4h,2026-06-06T08:00,2026-06-07T10:00,E-0117,BG-PUMP-088,At Risk,Failed Visit,True,Parts unavailable
J-00092,CU-1640,Wales,CF37 8FE,Emergency,High,48h,2026-06-08T08:00,2026-06-06T15:00,E-0059,BG-BOILE-040,At Risk,Open,True,Engineer absence
J-00093,CU-3643,Midlands,CV3 2CE,Repair,Low,Same Day,2026-06-03T08:00,2026-06-01T13:00,E-0020,BG-BOILE-004,At Risk,Failed Visit,True,Parts unavailable
J-00094,CU-7588,South,SO2 7DH,Service,Critical,Next Day,2026-06-12T08:00,2026-06-02T10:00,E-0114,BG-PIPEW-009,In Progress,Customer Cancelled,False,Traffic
J-00095,CU-3484,South,RG27 1DK,Emergency,Medium,Same Day,2026-06-09T08:00,2026-06-11T09:00,E-0067,BG-PIPEW-041,At Risk,Failed Visit,True,None
J-00096,CU-8897,Midlands,B98 7GB,Install,High,Same Day,2026-06-09T08:00,2026-06-13T16:00,E-0040,BG-SENSO-060,At Risk,Failed Visit,True,Weather
J-00097,CU-7313,South,RG95 4DH,Repair,Medium,4h,2026-06-05T08:00,2026-06-09T16:00,E-0088,BG-PIPEW-048,In Progress,Failed Visit,True,Parts unavailable
J-00098,CU-2144,Wales,NP68 7EG,Service,High,Next Day,2026-06-06T08:00,2026-06-05T12:00,E-0063,BG-METER-055,In Progress,Complete,False,Weather
J-00099,CU-8036,Scotland,AB48 6FD,Install,Low,48h,2026-06-02T08:00,2026-06-12T14:00,E-0104,BG-BOILE-036,Scheduled,Complete,True,Weather
J-00100,CU-2465,Scotland,G56 1CF,Emergency,Medium,Same Day,2026-06-09T08:00,2026-06-16T10:00,E-0086,BG-PUMP-045,In Progress,Customer Cancelled,False,None
J-00101,CU-5863,Scotland,EH64 8CK,Install,High,4h,2026-06-11T08:00,2026-06-10T17:00,E-0089,BG-SENSO-012,Scheduled,Failed Visit,True,Engineer absence
J-00102,CU-1149,South,SO93 2CG,Emergency,High,4h,2026-06-04T08:00,2026-06-12T16:00,E-0023,BG-PUMP-037,Scheduled,Complete,True,Carrier delay
J-00103,CU-1323,Scotland,DD72 9JH,Repair,Critical,Same Day,2026-06-04T08:00,2026-06-06T11:00,E-0001,BG-BOILE-011,Rescheduled,Customer Cancelled,False,Traffic
J-00104,CU-1732,London,N5 4CE,Service,High,Same Day,2026-06-19T08:00,2026-06-12T13:00,E-0017,BG-EV-047,Rescheduled,Customer Cancelled,True,None
J-00105,CU-4698,Wales,LL2 2GD,Emergency,Critical,4h,2026-06-06T08:00,2026-06-17T13:00,E-0076,BG-PIPEW-048,At Risk,Complete,False,Carrier delay
J-00106,CU-2476,Scotland,G10 4BC,Smart Meter Exchange,Critical,4h,2026-06-10T08:00,2026-06-18T16:00,E-0104,BG-EV-082,Scheduled,Customer Cancelled,True,Engineer absence
J-00107,CU-5994,South,OX5 8KH,Repair,Medium,4h,2026-06-15T08:00,2026-06-11T13:00,E-0046,BG-SENSO-068,Scheduled,Complete,True,Traffic
J-00108,CU-2946,North,L63 9HC,Install,Low,48h,2026-06-05T08:00,2026-06-04T10:00,E-0102,BG-EV-035,Scheduled,Open,True,Parts unavailable
J-00109,CU-4791,Midlands,CV44 7HA,Smart Meter Exchange,Low,4h,2026-06-10T08:00,2026-06-04T13:00,E-0047,BG-BOILE-026,Completed,Failed Visit,True,Engineer absence
J-00110,CU-2971,Midlands,B76 4DH,Repair,Critical,Next Day,2026-06-10T08:00,2026-06-16T12:00,E-0069,BG-PUMP-024,In Progress,Complete,False,Parts unavailable
J-00111,CU-9602,Scotland,AB39 4EE,Smart Meter Exchange,Critical,Same Day,2026-06-08T08:00,2026-06-02T17:00,E-0031,BG-EV-089,Completed,Complete,True,Engineer absence
J-00112,CU-7479,North,LS58 4GF,Service,Low,4h,2026-06-16T08:00,2026-06-06T16:00,E-0024,BG-SENSO-038,In Progress,Open,True,Carrier delay
J-00113,CU-9906,Scotland,G3 1BJ,Install,Critical,48h,2026-06-05T08:00,2026-06-01T12:00,E-0004,BG-METER-017,In Progress,Customer Cancelled,True,Weather
J-00114,CU-3401,North,NE19 7HH,Repair,Critical,48h,2026-06-09T08:00,2026-06-05T10:00,E-0042,BG-EV-020,In Progress,Open,True,Weather
J-00115,CU-8543,Midlands,CV71 7DD,Service,Critical,Same Day,2026-06-04T08:00,2026-06-05T15:00,E-0094,BG-BOILE-011,Scheduled,Customer Cancelled,False,Traffic
J-00116,CU-3050,Scotland,EH52 1DG,Service,Critical,48h,2026-06-16T08:00,2026-06-11T15:00,E-0106,BG-PUMP-037,At Risk,Open,True,None
J-00117,CU-1612,Scotland,AB21 3HB,Repair,High,Same Day,2026-06-05T08:00,2026-06-06T17:00,E-0067,BG-PIPEW-041,Rescheduled,Failed Visit,True,Weather
J-00118,CU-5696,London,SW53 3HF,Smart Meter Exchange,Medium,Next Day,2026-06-03T08:00,2026-06-14T17:00,E-0058,BG-PUMP-071,Completed,Complete,False,Carrier delay
J-00119,CU-3885,London,E19 2EG,Repair,Medium,48h,2026-06-14T08:00,2026-06-17T12:00,E-0086,BG-METER-044,Completed,Open,True,None
J-00120,CU-4074,North,L90 9CK,Emergency,High,Next Day,2026-06-07T08:00,2026-06-07T09:00,E-0048,BG-SENSO-079,Completed,Complete,False,Traffic
J-00121,CU-7243,South,BN26 8BF,Emergency,Low,48h,2026-06-01T08:00,2026-06-12T12:00,E-0065,BG-SENSO-056,Completed,Failed Visit,True,Engineer absence
J-00122,CU-5263,Wales,SY21 6DB,Repair,Critical,48h,2026-06-01T08:00,2026-06-21T11:00,E-0004,BG-SENSO-079,Rescheduled,Complete,True,Carrier delay
J-00123,CU-8971,Wales,CF27 7GF,Emergency,High,Same Day,2026-06-10T08:00,2026-06-01T11:00,E-0085,BG-VALVE-049,Rescheduled,Complete,True,None
J-00124,CU-5605,Wales,NP14 5CD,Emergency,Low,48h,2026-06-14T08:00,2026-06-20T13:00,E-0105,BG-BOILE-004,Completed,Complete,False,Carrier delay
J-00125,CU-2225,Wales,SY83 7GF,Install,High,Same Day,2026-06-02T08:00,2026-06-16T16:00,E-0006,BG-VALVE-085,Completed,Customer Cancelled,True,None
J-00126,CU-1783,Scotland,G18 2FG,Service,High,4h,2026-06-07T08:00,2026-06-12T17:00,E-0001,BG-SENSO-061,Scheduled,Failed Visit,False,None
J-00127,CU-2231,Wales,NP8 4AD,Emergency,Low,Same Day,2026-06-16T08:00,2026-06-04T14:00,E-0027,BG-PIPEW-041,Rescheduled,Failed Visit,True,Traffic
J-00128,CU-7923,Wales,SA38 4GC,Smart Meter Exchange,Medium,48h,2026-06-17T08:00,2026-06-14T10:00,E-0088,BG-EV-035,Scheduled,Open,True,None
J-00129,CU-2137,South,PO24 6HC,Repair,Low,48h,2026-06-11T08:00,2026-06-01T11:00,E-0034,BG-SENSO-052,Scheduled,Open,False,Engineer absence
J-00130,CU-3320,North,NE64 1DK,Emergency,Medium,Same Day,2026-06-03T08:00,2026-06-07T15:00,E-0082,BG-VALVE-033,Scheduled,Failed Visit,True,Engineer absence
J-00131,CU-5641,Midlands,NG86 9CB,Install,High,Same Day,2026-06-14T08:00,2026-06-19T10:00,E-0038,BG-PUMP-088,In Progress,Complete,True,Weather
J-00132,CU-8006,South,RG54 7HA,Smart Meter Exchange,Critical,48h,2026-06-03T08:00,2026-06-05T13:00,E-0101,BG-BOILE-026,In Progress,Failed Visit,True,Parts unavailable
J-00133,CU-1105,South,RG80 4BB,Repair,High,4h,2026-06-17T08:00,2026-06-04T12:00,E-0027,BG-PIPEW-014,Scheduled,Customer Cancelled,True,None
J-00134,CU-7380,South,BN75 5AK,Emergency,Critical,Next Day,2026-06-05T08:00,2026-06-15T16:00,E-0036,BG-METER-031,Scheduled,Open,True,Traffic
J-00135,CU-4793,Midlands,CV14 3GG,Repair,Critical,Next Day,2026-06-04T08:00,2026-06-02T10:00,E-0057,BG-SENSO-061,Completed,Complete,True,Parts unavailable
J-00136,CU-4399,Wales,SY61 9FF,Smart Meter Exchange,High,4h,2026-06-15T08:00,2026-06-14T15:00,E-0112,BG-BOILE-021,Scheduled,Complete,True,Parts unavailable
J-00137,CU-6400,Scotland,G31 8BK,Smart Meter Exchange,Critical,Next Day,2026-06-03T08:00,2026-06-14T10:00,E-0114,BG-BOILE-021,Rescheduled,Customer Cancelled,True,Parts unavailable
J-00138,CU-1931,North,M8 3HC,Install,Critical,Next Day,2026-06-12T08:00,2026-06-20T12:00,E-0038,BG-PUMP-018,In Progress,Customer Cancelled,True,Weather
J-00139,CU-7268,London,SW57 1DD,Emergency,High,48h,2026-06-18T08:00,2026-06-02T13:00,E-0005,BG-PUMP-071,Rescheduled,Failed Visit,False,None
J-00140,CU-1202,North,M40 6EC,Emergency,Low,4h,2026-06-15T08:00,2026-06-01T16:00,E-0005,BG-BOILE-067,Completed,Customer Cancelled,True,Engineer absence
J-00141,CU-7084,Scotland,DD10 7EC,Repair,Medium,Next Day,2026-06-11T08:00,2026-06-14T14:00,E-0061,BG-PUMP-024,Completed,Complete,True,Parts unavailable
J-00142,CU-6192,North,NE25 5DF,Service,Medium,Same Day,2026-06-15T08:00,2026-06-11T10:00,E-0089,BG-PIPEW-075,In Progress,Customer Cancelled,True,Engineer absence
J-00143,CU-1392,North,LS10 3JJ,Emergency,Low,Next Day,2026-06-05T08:00,2026-06-13T17:00,E-0031,BG-SENSO-086,Completed,Complete,True,Traffic
J-00144,CU-1687,Midlands,CV56 9EK,Smart Meter Exchange,Medium,4h,2026-06-12T08:00,2026-06-10T11:00,E-0016,BG-BOILE-042,Completed,Failed Visit,True,Weather
J-00145,CU-4644,North,M42 3JF,Install,Low,4h,2026-06-11T08:00,2026-06-02T15:00,E-0013,BG-PUMP-069,Rescheduled,Failed Visit,True,Parts unavailable
J-00146,CU-4586,South,BN97 5GH,Install,High,48h,2026-06-04T08:00,2026-06-06T16:00,E-0041,BG-EV-023,Scheduled,Failed Visit,True,Engineer absence
J-00147,CU-6932,South,OX26 3JG,Service,Medium,Same Day,2026-06-12T08:00,2026-06-11T15:00,E-0028,BG-EV-006,Rescheduled,Open,True,None
J-00148,CU-6114,Wales,LL55 9AE,Install,Low,Same Day,2026-06-04T08:00,2026-06-09T16:00,E-0049,BG-BOILE-005,Completed,Customer Cancelled,False,None
J-00149,CU-7660,South,BN35 4JH,Smart Meter Exchange,Low,Next Day,2026-06-08T08:00,2026-06-11T16:00,E-0091,BG-BOILE-040,At Risk,Complete,False,None
J-00150,CU-3936,London,N61 2AE,Service,High,4h,2026-06-18T08:00,2026-06-15T14:00,E-0013,BG-BOILE-067,Scheduled,Customer Cancelled,True,Carrier delay
J-00151,CU-8756,South,PO22 1DD,Repair,High,Same Day,2026-06-06T08:00,2026-06-16T09:00,E-0042,BG-BOILE-040,Scheduled,Complete,True,Parts unavailable
J-00152,CU-6914,South,OX25 1KE,Install,Critical,Next Day,2026-06-09T08:00,2026-06-17T09:00,E-0078,BG-SENSO-019,Completed,Complete,False,Engineer absence
J-00153,CU-5368,Scotland,G23 8AE,Smart Meter Exchange,High,48h,2026-06-06T08:00,2026-06-21T09:00,E-0040,BG-PIPEW-041,Completed,Failed Visit,False,None
