event_id,shipment_id,warehouse_id,event_type,event_timestamp,part_id,quantity,status
WMS-00004-5,SH-00004,W-GLA,Pick Completed,2026-06-08T04:57,UT-METER-055,12,Completed
WMS-00005-0,SH-00005,W-MAN,ASN Received,2026-06-16T18:17,UT-METER-039,12,Open
WMS-00005-1,SH-00005,W-LON,Goods Received,2026-06-16T20:40,UT-METER-039,4,Exception
WMS-00005-2,SH-00005,W-COV,Putaway Completed,2026-06-16T22:15,UT-METER-039,12,Open
WMS-00005-3,SH-00005,W-LON,Stock Adjustment,2026-06-17T00:11,UT-METER-039,16,Exception
WMS-00005-4,SH-00005,W-GLA,Pick Started,2026-06-17T02:22,UT-METER-039,6,Open
WMS-00005-5,SH-00005,W-COV,Pick Completed,2026-06-17T04:18,UT-METER-039,1,Open
WMS-00005-6,SH-00005,W-COV,Pack Completed,2026-06-17T06:10,UT-METER-039,19,Completed
WMS-00005-7,SH-00005,W-MAN,Shipment Created,2026-06-17T08:41,UT-METER-039,8,Exception
WMS-00006-0,SH-00006,W-COV,ASN Received,2026-06-17T08:21,UT-EV-035,9,Exception
WMS-00006-1,SH-00006,W-GLA,Goods Received,2026-06-17T10:55,UT-EV-035,9,Open
WMS-00006-2,SH-00006,W-GLA,Putaway Completed,2026-06-17T12:12,UT-EV-035,5,Exception
WMS-00006-3,SH-00006,W-MAN,Stock Adjustment,2026-06-17T14:57,UT-EV-035,2,Exception
WMS-00006-4,SH-00006,W-LON,Pick Started,2026-06-17T16:42,UT-EV-035,11,Exception
WMS-00006-5,SH-00006,W-MAN,Pick Completed,2026-06-17T18:46,UT-EV-035,1,Exception
WMS-00007-0,SH-00007,W-COV,ASN Received,2026-06-13T14:30,UT-SENSO-038,7,Exception
WMS-00007-1,SH-00007,W-COV,Goods Received,2026-06-13T16:55,UT-SENSO-038,22,Open
WMS-00007-2,SH-00007,W-GLA,Putaway Completed,2026-06-13T18:26,UT-SENSO-038,2,Completed
WMS-00008-0,SH-00008,W-MAN,ASN Received,2026-06-19T15:14,UT-BOILE-026,23,Open
WMS-00008-1,SH-00008,W-GLA,Goods Received,2026-06-19T17:08,UT-BOILE-026,4,Open
WMS-00008-2,SH-00008,W-GLA,Putaway Completed,2026-06-19T19:10,UT-BOILE-026,3,Completed
WMS-00008-3,SH-00008,W-GLA,Stock Adjustment,2026-06-19T21:18,UT-BOILE-026,15,Exception
WMS-00008-4,SH-00008,W-GLA,Pick Started,2026-06-19T23:27,UT-BOILE-026,22,Completed
WMS-00008-5,SH-00008,W-GLA,Pick Completed,2026-06-20T01:57,UT-BOILE-026,16,Open
WMS-00008-6,SH-00008,W-MAN,Pack Completed,2026-06-20T03:10,UT-BOILE-026,13,Completed
WMS-00008-7,SH-00008,W-MAN,Shipment Created,2026-06-20T05:14,UT-BOILE-026,24,Completed
WMS-00009-0,SH-00009,W-MAN,ASN Received,2026-06-06T09:49,UT-EV-003,9,Exception
WMS-00009-1,SH-00009,W-MAN,Goods Received,2026-06-06T11:22,UT-EV-003,23,Open
WMS-00009-2,SH-00009,W-GLA,Putaway Completed,2026-06-06T13:10,UT-EV-003,2,Exception
WMS-00009-3,SH-00009,W-LON,Stock Adjustment,2026-06-06T15:58,UT-EV-003,7,Exception
WMS-00009-4,SH-00009,W-LON,Pick Started,2026-06-06T17:21,UT-EV-003,8,Completed
WMS-00009-5,SH-00009,W-COV,Pick Completed,2026-06-06T19:42,UT-EV-003,3,Completed
WMS-00009-6,SH-00009,W-LON,Pack Completed,2026-06-06T21:09,UT-EV-003,3,Exception
WMS-00010-0,SH-00010,W-MAN,ASN Received,2026-06-15T12:44,UT-PIPEW-013,24,Completed
WMS-00010-1,SH-00010,W-MAN,Goods Received,2026-06-15T14:06,UT-PIPEW-013,14,Exception
WMS-00010-2,SH-00010,W-LON,Putaway Completed,2026-06-15T16:51,UT-PIPEW-013,19,Exception
WMS-00011-0,SH-00011,W-LON,ASN Received,2026-06-12T17:20,UT-PUMP-024,8,Open
WMS-00011-1,SH-00011,W-GLA,Goods Received,2026-06-12T19:03,UT-PUMP-024,17,Completed
WMS-00011-2,SH-00011,W-LON,Putaway Completed,2026-06-12T21:25,UT-PUMP-024,8,Completed
WMS-00012-0,SH-00012,W-GLA,ASN Received,2026-06-03T15:35,UT-BOILE-057,17,Open
WMS-00012-1,SH-00012,W-COV,Goods Received,2026-06-03T17:02,UT-BOILE-057,6,Open
WMS-00012-2,SH-00012,W-MAN,Putaway Completed,2026-06-03T19:52,UT-BOILE-057,23,Exception
WMS-00012-3,SH-00012,W-LON,Stock Adjustment,2026-06-03T21:06,UT-BOILE-057,9,Exception
WMS-00012-4,SH-00012,W-MAN,Pick Started,2026-06-03T23:12,UT-BOILE-057,4,Open
WMS-00012-5,SH-00012,W-MAN,Pick Completed,2026-06-04T01:29,UT-BOILE-057,7,Exception
WMS-00012-6,SH-00012,W-GLA,Pack Completed,2026-06-04T03:06,UT-BOILE-057,14,Completed
WMS-00012-7,SH-00012,W-COV,Shipment Created,2026-06-04T05:49,UT-BOILE-057,15,Open
WMS-00013-0,SH-00013,W-MAN,ASN Received,2026-06-16T08:45,UT-PIPEW-076,21,Completed
WMS-00013-1,SH-00013,W-GLA,Goods Received,2026-06-16T10:45,UT-PIPEW-076,4,Open
WMS-00013-2,SH-00013,W-LON,Putaway Completed,2026-06-16T12:37,UT-PIPEW-076,19,Exception
WMS-00013-3,SH-00013,W-LON,Stock Adjustment,2026-06-16T14:43,UT-PIPEW-076,24,Exception
WMS-00013-4,SH-00013,W-GLA,Pick Started,2026-06-16T16:56,UT-PIPEW-076,14,Completed
WMS-00013-5,SH-00013,W-COV,Pick Completed,2026-06-16T18:01,UT-PIPEW-076,13,Completed
WMS-00013-6,SH-00013,W-COV,Pack Completed,2026-06-16T20:42,UT-PIPEW-076,2,Completed
WMS-00013-7,SH-00013,W-GLA,Shipment Created,2026-06-16T22:48,UT-PIPEW-076,6,Open
WMS-00014-0,SH-00014,W-LON,ASN Received,2026-06-10T11:11,UT-VALVE-033,22,Completed
WMS-00014-1,SH-00014,W-MAN,Goods Received,2026-06-10T13:11,UT-VALVE-033,24,Exception
WMS-00014-2,SH-00014,W-COV,Putaway Completed,2026-06-10T15:24,UT-VALVE-033,2,Open
WMS-00014-3,SH-00014,W-GLA,Stock Adjustment,2026-06-10T17:35,UT-VALVE-033,9,Completed
WMS-00014-4,SH-00014,W-MAN,Pick Started,2026-06-10T19:37,UT-VALVE-033,9,Completed
WMS-00015-0,SH-00015,W-COV,ASN Received,2026-06-02T10:24,UT-SENSO-060,9,Exception
WMS-00015-1,SH-00015,W-GLA,Goods Received,2026-06-02T12:01,UT-SENSO-060,17,Open
WMS-00015-2,SH-00015,W-LON,Putaway Completed,2026-06-02T14:31,UT-SENSO-060,2,Open
WMS-00015-3,SH-00015,W-MAN,Stock Adjustment,2026-06-02T16:20,UT-SENSO-060,17,Completed
WMS-00015-4,SH-00015,W-COV,Pick Started,2026-06-02T18:10,UT-SENSO-060,18,Exception
WMS-00015-5,SH-00015,W-COV,Pick Completed,2026-06-02T20:40,UT-SENSO-060,3,Completed
WMS-00016-0,SH-00016,W-COV,ASN Received,2026-06-04T11:18,UT-PUMP-081,22,Open
WMS-00016-1,SH-00016,W-COV,Goods Received,2026-06-04T13:18,UT-PUMP-081,15,Open
WMS-00016-2,SH-00016,W-LON,Putaway Completed,2026-06-04T15:52,UT-PUMP-081,22,Completed
WMS-00016-3,SH-00016,W-LON,Stock Adjustment,2026-06-04T17:10,UT-PUMP-081,18,Completed
WMS-00016-4,SH-00016,W-MAN,Pick Started,2026-06-04T19:47,UT-PUMP-081,13,Exception
WMS-00017-0,SH-00017,W-LON,ASN Received,2026-06-21T13:21,UT-EV-082,12,Completed
WMS-00017-1,SH-00017,W-MAN,Goods Received,2026-06-21T15:06,UT-EV-082,10,Exception
WMS-00017-2,SH-00017,W-COV,Putaway Completed,2026-06-21T17:57,UT-EV-082,7,Open
WMS-00017-3,SH-00017,W-LON,Stock Adjustment,2026-06-21T19:28,UT-EV-082,11,Exception
WMS-00017-4,SH-00017,W-GLA,Pick Started,2026-06-21T21:44,UT-EV-082,19,Completed
WMS-00017-5,SH-00017,W-GLA,Pick Completed,2026-06-21T23:51,UT-EV-082,11,Open
WMS-00017-6,SH-00017,W-MAN,Pack Completed,2026-06-22T01:00,UT-EV-082,11,Completed
WMS-00017-7,SH-00017,W-MAN,Shipment Created,2026-06-22T03:45,UT-EV-082,24,Exception
WMS-00018-0,SH-00018,W-COV,ASN Received,2026-06-11T15:25,UT-BOILE-036,12,Exception
WMS-00018-1,SH-00018,W-COV,Goods Received,2026-06-11T17:42,UT-BOILE-036,8,Exception
WMS-00018-2,SH-00018,W-MAN,Putaway Completed,2026-06-11T19:48,UT-BOILE-036,17,Completed
WMS-00018-3,SH-00018,W-LON,Stock Adjustment,2026-06-11T21:10,UT-BOILE-036,6,Exception
WMS-00018-4,SH-00018,W-MAN,Pick Started,2026-06-11T23:47,UT-BOILE-036,24,Open
WMS-00018-5,SH-00018,W-GLA,Pick Completed,2026-06-12T01:02,UT-BOILE-036,8,Open
WMS-00018-6,SH-00018,W-MAN,Pack Completed,2026-06-12T03:04,UT-BOILE-036,9,Open
WMS-00019-0,SH-00019,W-MAN,ASN Received,2026-06-17T13:23,UT-EV-006,20,Exception
WMS-00019-1,SH-00019,W-COV,Goods Received,2026-06-17T15:42,UT-EV-006,8,Open
WMS-00019-2,SH-00019,W-GLA,Putaway Completed,2026-06-17T17:46,UT-EV-006,4,Open
WMS-00019-3,SH-00019,W-LON,Stock Adjustment,2026-06-17T19:30,UT-EV-006,7,Exception
WMS-00020-0,SH-00020,W-LON,ASN Received,2026-06-08T08:24,UT-PIPEW-083,5,Completed
WMS-00020-1,SH-00020,W-COV,Goods Received,2026-06-08T10:12,UT-PIPEW-083,17,Exception
WMS-00020-2,SH-00020,W-LON,Putaway Completed,2026-06-08T12:52,UT-PIPEW-083,5,Exception
WMS-00020-3,SH-00020,W-COV,Stock Adjustment,2026-06-08T14:11,UT-PIPEW-083,16,Exception
WMS-00021-0,SH-00021,W-MAN,ASN Received,2026-06-04T09:44,UT-BOILE-005,11,Open
WMS-00021-1,SH-00021,W-GLA,Goods Received,2026-06-04T11:06,UT-BOILE-005,5,Open
WMS-00021-2,SH-00021,W-GLA,Putaway Completed,2026-06-04T13:16,UT-BOILE-005,18,Open
WMS-00021-3,SH-00021,W-GLA,Stock Adjustment,2026-06-04T15:39,UT-BOILE-005,9,Exception
WMS-00021-4,SH-00021,W-LON,Pick Started,2026-06-04T17:48,UT-BOILE-005,7,Open
WMS-00021-5,SH-00021,W-LON,Pick Completed,2026-06-04T19:11,UT-BOILE-005,12,Exception
WMS-00022-0,SH-00022,W-COV,ASN Received,2026-06-19T13:49,UT-VALVE-062,6,Exception
WMS-00022-1,SH-00022,W-LON,Goods Received,2026-06-19T15:28,UT-VALVE-062,1,Completed
WMS-00022-2,SH-00022,W-GLA,Putaway Completed,2026-06-19T17:12,UT-VALVE-062,2,Exception
WMS-00022-3,SH-00022,W-MAN,Stock Adjustment,2026-06-19T19:39,UT-VALVE-062,6,Exception
WMS-00022-4,SH-00022,W-COV,Pick Started,2026-06-19T21:23,UT-VALVE-062,8,Exception
WMS-00022-5,SH-00022,W-COV,Pick Completed,2026-06-19T23:10,UT-VALVE-062,3,Open
WMS-00022-6,SH-00022,W-LON,Pack Completed,2026-06-20T01:22,UT-VALVE-062,22,Open
WMS-00022-7,SH-00022,W-LON,Shipment Created,2026-06-20T03:37,UT-VALVE-062,7,Exception
WMS-00023-0,SH-00023,W-COV,ASN Received,2026-06-18T17:24,UT-PIPEW-009,21,Completed
WMS-00023-1,SH-00023,W-MAN,Goods Received,2026-06-18T19:51,UT-PIPEW-009,11,Open
WMS-00023-2,SH-00023,W-GLA,Putaway Completed,2026-06-18T21:33,UT-PIPEW-009,18,Completed
WMS-00023-3,SH-00023,W-GLA,Stock Adjustment,2026-06-18T23:15,UT-PIPEW-009,10,Completed
WMS-00023-4,SH-00023,W-LON,Pick Started,2026-06-19T01:43,UT-PIPEW-009,24,Open
WMS-00024-0,SH-00024,W-GLA,ASN Received,2026-06-11T13:25,UT-PUMP-071,8,Exception
WMS-00024-1,SH-00024,W-MAN,Goods Received,2026-06-11T15:03,UT-PUMP-071,17,Open
WMS-00024-2,SH-00024,W-LON,Putaway Completed,2026-06-11T17:34,UT-PUMP-071,2,Exception
WMS-00024-3,SH-00024,W-GLA,Stock Adjustment,2026-06-11T19:25,UT-PUMP-071,22,Completed
WMS-00024-4,SH-00024,W-LON,Pick Started,2026-06-11T21:07,UT-PUMP-071,23,Exception
WMS-00024-5,SH-00024,W-LON,Pick Completed,2026-06-11T23:20,UT-PUMP-071,23,Completed
WMS-00024-6,SH-00024,W-COV,Pack Completed,2026-06-12T01:43,UT-PUMP-071,7,Open
WMS-00025-0,SH-00025,W-COV,ASN Received,2026-06-20T12:25,UT-PIPEW-013,4,Exception
WMS-00025-1,SH-00025,W-MAN,Goods Received,2026-06-20T14:03,UT-PIPEW-013,7,Open
WMS-00025-2,SH-00025,W-LON,Putaway Completed,2026-06-20T16:53,UT-PIPEW-013,21,Completed
WMS-00025-3,SH-00025,W-LON,Stock Adjustment,2026-06-20T18:47,UT-PIPEW-013,11,Open
WMS-00025-4,SH-00025,W-GLA,Pick Started,2026-06-20T20:23,UT-PIPEW-013,18,Exception
WMS-00026-0,SH-00026,W-LON,ASN Received,2026-06-04T13:26,UT-PUMP-045,6,Completed
WMS-00026-1,SH-00026,W-COV,Goods Received,2026-06-04T15:08,UT-PUMP-045,24,Completed
WMS-00026-2,SH-00026,W-GLA,Putaway Completed,2026-06-04T17:47,UT-PUMP-045,23,Exception
WMS-00026-3,SH-00026,W-COV,Stock Adjustment,2026-06-04T19:13,UT-PUMP-045,6,Open
WMS-00026-4,SH-00026,W-COV,Pick Started,2026-06-04T21:06,UT-PUMP-045,3,Open
WMS-00027-0,SH-00027,W-LON,ASN Received,2026-06-17T09:19,UT-PIPEW-007,12,Open
WMS-00027-1,SH-00027,W-GLA,Goods Received,2026-06-17T11:09,UT-PIPEW-007,10,Completed
WMS-00027-2,SH-00027,W-COV,Putaway Completed,2026-06-17T13:33,UT-PIPEW-007,5,Open
WMS-00028-0,SH-00028,W-LON,ASN Received,2026-06-16T15:17,UT-SENSO-061,23,Exception
WMS-00028-1,SH-00028,W-LON,Goods Received,2026-06-16T17:12,UT-SENSO-061,11,Completed
WMS-00028-2,SH-00028,W-MAN,Putaway Completed,2026-06-16T19:03,UT-SENSO-061,18,Completed
WMS-00028-3,SH-00028,W-MAN,Stock Adjustment,2026-06-16T21:06,UT-SENSO-061,10,Open
WMS-00028-4,SH-00028,W-MAN,Pick Started,2026-06-16T23:45,UT-SENSO-061,15,Exception
WMS-00028-5,SH-00028,W-COV,Pick Completed,2026-06-17T01:14,UT-SENSO-061,3,Completed
WMS-00028-6,SH-00028,W-COV,Pack Completed,2026-06-17T03:31,UT-SENSO-061,7,Open
WMS-00029-0,SH-00029,W-GLA,ASN Received,2026-06-15T08:12,UT-BOILE-040,12,Completed
WMS-00029-1,SH-00029,W-MAN,Goods Received,2026-06-15T10:07,UT-BOILE-040,8,Exception
WMS-00029-2,SH-00029,W-LON,Putaway Completed,2026-06-15T12:20,UT-BOILE-040,1,Completed
WMS-00029-3,SH-00029,W-GLA,Stock Adjustment,2026-06-15T14:37,UT-BOILE-040,4,Open
WMS-00029-4,SH-00029,W-MAN,Pick Started,2026-06-15T16:00,UT-BOILE-040,2,Exception
WMS-00029-5,SH-00029,W-LON,Pick Completed,2026-06-15T18:44,UT-BOILE-040,20,Completed
WMS-00029-6,SH-00029,W-GLA,Pack Completed,2026-06-15T20:49,UT-BOILE-040,3,Completed
WMS-00029-7,SH-00029,W-MAN,Shipment Created,2026-06-15T22:31,UT-BOILE-040,3,Exception
WMS-00030-0,SH-00030,W-GLA,ASN Received,2026-06-02T13:29,UT-METER-044,1,Exception
WMS-00030-1,SH-00030,W-LON,Goods Received,2026-06-02T15:46,UT-METER-044,6,Completed
WMS-00030-2,SH-00030,W-GLA,Putaway Completed,2026-06-02T17:49,UT-METER-044,20,Completed
WMS-00030-3,SH-00030,W-GLA,Stock Adjustment,2026-06-02T19:46,UT-METER-044,3,Exception
WMS-00030-4,SH-00030,W-LON,Pick Started,2026-06-02T21:12,UT-METER-044,17,Exception
WMS-00031-0,SH-00031,W-GLA,ASN Received,2026-06-11T14:33,UT-PUMP-071,2,Exception
WMS-00031-1,SH-00031,W-COV,Goods Received,2026-06-11T16:53,UT-PUMP-071,10,Completed
WMS-00031-2,SH-00031,W-MAN,Putaway Completed,2026-06-11T18:33,UT-PUMP-071,4,Completed
WMS-00031-3,SH-00031,W-MAN,Stock Adjustment,2026-06-11T20:34,UT-PUMP-071,13,Completed
WMS-00031-4,SH-00031,W-MAN,Pick Started,2026-06-11T22:33,UT-PUMP-071,22,Completed
WMS-00031-5,SH-00031,W-MAN,Pick Completed,2026-06-12T00:35,UT-PUMP-071,24,Exception
WMS-00031-6,SH-00031,W-LON,Pack Completed,2026-06-12T02:47,UT-PUMP-071,4,Exception
WMS-00032-0,SH-00032,W-MAN,ASN Received,2026-06-14T09:56,UT-PUMP-046,10,Completed
WMS-00032-1,SH-00032,W-GLA,Goods Received,2026-06-14T11:14,UT-PUMP-046,7,Open
WMS-00032-2,SH-00032,W-COV,Putaway Completed,2026-06-14T13:49,UT-PUMP-046,23,Open
WMS-00032-3,SH-00032,W-MAN,Stock Adjustment,2026-06-14T15:06,UT-PUMP-046,2,Open
WMS-00032-4,SH-00032,W-GLA,Pick Started,2026-06-14T17:09,UT-PUMP-046,5,Open
WMS-00032-5,SH-00032,W-GLA,Pick Completed,2026-06-14T19:56,UT-PUMP-046,19,Completed
WMS-00032-6,SH-00032,W-MAN,Pack Completed,2026-06-14T21:16,UT-PUMP-046,10,Completed
WMS-00033-0,SH-00033,W-LON,ASN Received,2026-06-03T13:28,UT-SENSO-052,20,Exception
WMS-00033-1,SH-00033,W-COV,Goods Received,2026-06-03T15:14,UT-SENSO-052,14,Open
WMS-00033-2,SH-00033,W-LON,Putaway Completed,2026-06-03T17:09,UT-SENSO-052,5,Open
WMS-00033-3,SH-00033,W-COV,Stock Adjustment,2026-06-03T19:30,UT-SENSO-052,19,Exception
WMS-00033-4,SH-00033,W-COV,Pick Started,2026-06-03T21:35,UT-SENSO-052,13,Open
WMS-00033-5,SH-00033,W-COV,Pick Completed,2026-06-03T23:25,UT-SENSO-052,17,Open
WMS-00033-6,SH-00033,W-MAN,Pack Completed,2026-06-04T01:48,UT-SENSO-052,5,Open
WMS-00033-7,SH-00033,W-MAN,Shipment Created,2026-06-04T03:31,UT-SENSO-052,13,Exception
WMS-00034-0,SH-00034,W-COV,ASN Received,2026-06-08T11:19,UT-BOILE-026,15,Open
WMS-00034-1,SH-00034,W-COV,Goods Received,2026-06-08T13:21,UT-BOILE-026,7,Exception
WMS-00034-2,SH-00034,W-MAN,Putaway Completed,2026-06-08T15:13,UT-BOILE-026,18,Exception
WMS-00034-3,SH-00034,W-GLA,Stock Adjustment,2026-06-08T17:35,UT-BOILE-026,16,Exception
WMS-00034-4,SH-00034,W-MAN,Pick Started,2026-06-08T19:44,UT-BOILE-026,23,Exception
WMS-00035-0,SH-00035,W-GLA,ASN Received,2026-06-02T12:43,UT-VALVE-049,12,Open
WMS-00035-1,SH-00035,W-GLA,Goods Received,2026-06-02T14:15,UT-VALVE-049,17,Open
WMS-00035-2,SH-00035,W-COV,Putaway Completed,2026-06-02T16:40,UT-VALVE-049,9,Open
WMS-00036-0,SH-00036,W-COV,ASN Received,2026-06-05T13:48,UT-SENSO-072,11,Open
WMS-00036-1,SH-00036,W-LON,Goods Received,2026-06-05T15:19,UT-SENSO-072,15,Exception
WMS-00036-2,SH-00036,W-GLA,Putaway Completed,2026-06-05T17:09,UT-SENSO-072,7,Completed
WMS-00036-3,SH-00036,W-MAN,Stock Adjustment,2026-06-05T19:11,UT-SENSO-072,1,Exception
WMS-00036-4,SH-00036,W-GLA,Pick Started,2026-06-05T21:38,UT-SENSO-072,19,Exception
WMS-00036-5,SH-00036,W-MAN,Pick Completed,2026-06-05T23:38,UT-SENSO-072,8,Completed
WMS-00036-6,SH-00036,W-COV,Pack Completed,2026-06-06T01:22,UT-SENSO-072,3,Exception
WMS-00036-7,SH-00036,W-LON,Shipment Created,2026-06-06T03:08,UT-SENSO-072,17,Exception
WMS-00037-0,SH-00037,W-LON,ASN Received,2026-06-13T15:33,UT-BOILE-084,21,Completed
WMS-00037-1,SH-00037,W-MAN,Goods Received,2026-06-13T17:18,UT-BOILE-084,15,Open
WMS-00037-2,SH-00037,W-GLA,Putaway Completed,2026-06-13T19:49,UT-BOILE-084,10,Open
WMS-00037-3,SH-00037,W-MAN,Stock Adjustment,2026-06-13T21:27,UT-BOILE-084,10,Exception
WMS-00037-4,SH-00037,W-COV,Pick Started,2026-06-13T23:44,UT-BOILE-084,17,Completed
WMS-00037-5,SH-00037,W-LON,Pick Completed,2026-06-14T01:53,UT-BOILE-084,21,Open
WMS-00037-6,SH-00037,W-COV,Pack Completed,2026-06-14T03:46,UT-BOILE-084,17,Completed
WMS-00038-0,SH-00038,W-GLA,ASN Received,2026-06-05T14:19,UT-PIPEW-075,24,Open
WMS-00038-1,SH-00038,W-GLA,Goods Received,2026-06-05T16:40,UT-PIPEW-075,6,Completed
WMS-00038-2,SH-00038,W-MAN,Putaway Completed,2026-06-05T18:12,UT-PIPEW-075,1,Exception
WMS-00038-3,SH-00038,W-GLA,Stock Adjustment,2026-06-05T20:00,UT-PIPEW-075,15,Open
WMS-00038-4,SH-00038,W-LON,Pick Started,2026-06-05T22:34,UT-PIPEW-075,1,Exception
WMS-00038-5,SH-00038,W-LON,Pick Completed,2026-06-06T00:15,UT-PIPEW-075,7,Exception
WMS-00039-0,SH-00039,W-LON,ASN Received,2026-06-15T09:53,UT-SENSO-061,18,Completed
WMS-00039-1,SH-00039,W-GLA,Goods Received,2026-06-15T11:30,UT-SENSO-061,5,Completed
WMS-00039-2,SH-00039,W-GLA,Putaway Completed,2026-06-15T13:21,UT-SENSO-061,17,Open
WMS-00040-0,SH-00040,W-COV,ASN Received,2026-06-20T08:21,UT-EV-027,12,Exception
WMS-00040-1,SH-00040,W-MAN,Goods Received,2026-06-20T10:00,UT-EV-027,21,Completed
WMS-00040-2,SH-00040,W-GLA,Putaway Completed,2026-06-20T12:16,UT-EV-027,3,Open
WMS-00040-3,SH-00040,W-GLA,Stock Adjustment,2026-06-20T14:32,UT-EV-027,18,Open
WMS-00040-4,SH-00040,W-COV,Pick Started,2026-06-20T16:07,UT-EV-027,22,Open
WMS-00040-5,SH-00040,W-GLA,Pick Completed,2026-06-20T18:25,UT-EV-027,24,Exception
WMS-00041-0,SH-00041,W-COV,ASN Received,2026-06-11T13:17,UT-BOILE-004,14,Completed
WMS-00041-1,SH-00041,W-LON,Goods Received,2026-06-11T15:56,UT-BOILE-004,8,Open
WMS-00041-2,SH-00041,W-LON,Putaway Completed,2026-06-11T17:53,UT-BOILE-004,10,Completed
WMS-00041-3,SH-00041,W-GLA,Stock Adjustment,2026-06-11T19:11,UT-BOILE-004,4,Open
WMS-00041-4,SH-00041,W-COV,Pick Started,2026-06-11T21:49,UT-BOILE-004,7,Completed
WMS-00041-5,SH-00041,W-LON,Pick Completed,2026-06-11T23:32,UT-BOILE-004,1,Open
WMS-00041-6,SH-00041,W-MAN,Pack Completed,2026-06-12T01:12,UT-BOILE-004,11,Open
WMS-00041-7,SH-00041,W-GLA,Shipment Created,2026-06-12T03:49,UT-BOILE-004,11,Completed
WMS-00042-0,SH-00042,W-GLA,ASN Received,2026-06-07T08:35,UT-BOILE-067,11,Open
WMS-00042-1,SH-00042,W-MAN,Goods Received,2026-06-07T10:45,UT-BOILE-067,10,Exception
WMS-00042-2,SH-00042,W-MAN,Putaway Completed,2026-06-07T12:10,UT-BOILE-067,3,Open
WMS-00042-3,SH-00042,W-GLA,Stock Adjustment,2026-06-07T14:34,UT-BOILE-067,15,Completed
WMS-00043-0,SH-00043,W-COV,ASN Received,2026-06-04T14:30,UT-BOILE-004,4,Open
WMS-00043-1,SH-00043,W-LON,Goods Received,2026-06-04T16:29,UT-BOILE-004,6,Open
WMS-00043-2,SH-00043,W-GLA,Putaway Completed,2026-06-04T18:38,UT-BOILE-004,19,Completed
WMS-00044-0,SH-00044,W-LON,ASN Received,2026-06-11T16:04,UT-PIPEW-014,20,Completed
WMS-00044-1,SH-00044,W-LON,Goods Received,2026-06-11T18:20,UT-PIPEW-014,16,Exception
WMS-00044-2,SH-00044,W-COV,Putaway Completed,2026-06-11T20:05,UT-PIPEW-014,7,Completed
WMS-00044-3,SH-00044,W-COV,Stock Adjustment,2026-06-11T22:48,UT-PIPEW-014,5,Exception
WMS-00044-4,SH-00044,W-MAN,Pick Started,2026-06-12T00:28,UT-PIPEW-014,18,Open
WMS-00045-0,SH-00045,W-MAN,ASN Received,2026-06-07T11:12,UT-SENSO-079,18,Open
WMS-00045-1,SH-00045,W-GLA,Goods Received,2026-06-07T13:53,UT-SENSO-079,14,Completed
WMS-00045-2,SH-00045,W-GLA,Putaway Completed,2026-06-07T15:55,UT-SENSO-079,22,Completed
WMS-00045-3,SH-00045,W-MAN,Stock Adjustment,2026-06-07T17:00,UT-SENSO-079,3,Exception
WMS-00045-4,SH-00045,W-COV,Pick Started,2026-06-07T19:09,UT-SENSO-079,24,Open
WMS-00045-5,SH-00045,W-LON,Pick Completed,2026-06-07T21:08,UT-SENSO-079,3,Completed
WMS-00046-0,SH-00046,W-COV,ASN Received,2026-06-20T10:43,UT-METER-054,21,Exception
