sla_id,job_id,shipment_id,SLA_target_time,current_eta,risk_level,breach_probability,recommended_action
SLA-00064,J-00064,SH-00064,2026-06-07T19:00,2026-06-07T21:08,Medium,0.49,Pre-position part
SLA-00065,J-00065,SH-00065,2026-06-19T21:00,2026-06-19T22:03,Low,0.24,Reassign engineer
SLA-00066,J-00066,SH-00066,2026-06-12T23:00,2026-06-12T23:02,Low,0.04,Pre-position part
SLA-00067,J-00067,SH-00067,2026-06-01T18:00,2026-06-01T22:07,High,0.95,Reassign engineer
SLA-00068,J-00068,SH-00068,2026-06-09T15:00,2026-06-09T17:04,Medium,0.48,Pre-position part
SLA-00069,J-00069,SH-00069,2026-06-13T08:00,2026-06-13T08:00,Low,0.04,Reassign engineer
SLA-00070,J-00070,SH-00070,2026-06-13T02:00,2026-06-13T02:40,Low,0.15,Expedite shipment
SLA-00071,J-00071,SH-00071,2026-06-18T02:00,2026-06-18T02:00,Low,0.15,Expedite shipment
SLA-00072,J-00072,SH-00072,2026-06-22T02:00,2026-06-22T02:40,Low,0.15,Expedite shipment
SLA-00073,J-00073,SH-00073,2026-06-17T07:00,2026-06-17T07:41,Low,0.16,Switch carrier
SLA-00074,J-00074,SH-00074,2026-06-13T04:00,2026-06-13T05:50,Medium,0.42,Expedite shipment
SLA-00075,J-00075,SH-00075,2026-06-12T19:00,2026-06-12T20:53,Medium,0.43,Pre-position part
SLA-00076,J-00076,SH-00076,2026-06-06T21:00,2026-06-06T22:32,Medium,0.5,Switch carrier
SLA-00077,J-00077,SH-00077,2026-06-09T21:00,2026-06-09T21:00,Low,0.04,Expedite shipment
SLA-00078,J-00078,SH-00078,2026-06-03T04:00,2026-06-03T05:22,Medium,0.32,Switch carrier
SLA-00079,J-00079,SH-00079,2026-06-15T15:00,2026-06-15T15:00,Low,0.15,Switch carrier
SLA-00080,J-00080,SH-00080,2026-06-01T15:00,2026-06-01T15:36,Low,0.14,Pre-position part
SLA-00081,J-00081,SH-00081,2026-06-14T08:00,2026-06-14T10:13,Medium,0.51,Switch carrier
SLA-00082,J-00082,SH-00082,2026-06-04T09:00,2026-06-04T09:58,Medium,0.37,Reassign engineer
SLA-00083,J-00083,SH-00083,2026-06-21T12:00,2026-06-21T13:14,Medium,0.28,Pre-position part
SLA-00084,J-00084,SH-00084,2026-06-11T09:00,2026-06-11T09:15,Low,0.06,Reassign engineer
SLA-00085,J-00085,SH-00085,2026-06-07T20:00,2026-06-07T20:00,Low,0.04,Switch carrier
SLA-00086,J-00086,SH-00086,2026-06-11T23:00,2026-06-12T00:39,Medium,0.38,Expedite shipment
SLA-00087,J-00087,SH-00087,2026-06-12T12:00,2026-06-12T15:18,High,0.76,Switch carrier
SLA-00088,J-00088,SH-00088,2026-06-01T15:00,2026-06-01T15:00,Low,0.04,Expedite shipment
SLA-00089,J-00089,SH-00089,2026-06-19T08:00,2026-06-19T08:14,Low,0.05,Reassign engineer
SLA-00090,J-00090,SH-00090,2026-06-03T17:00,2026-06-03T17:00,Low,0.04,Reassign engineer
SLA-00091,J-00091,SH-00091,2026-06-11T02:00,2026-06-11T02:00,Low,0.04,Expedite shipment
SLA-00092,J-00092,SH-00092,2026-06-07T09:00,2026-06-07T11:04,Medium,0.48,Switch carrier
SLA-00093,J-00093,SH-00093,2026-06-14T09:00,2026-06-14T09:25,Low,0.1,Expedite shipment
SLA-00094,J-00094,SH-00094,2026-06-06T20:00,2026-06-06T20:00,Low,0.15,Reassign engineer
SLA-00095,J-00095,SH-00095,2026-06-04T07:00,2026-06-04T09:28,High,0.57,Expedite shipment
SLA-00096,J-00096,SH-00096,2026-06-08T06:00,2026-06-08T06:41,Low,0.16,Reassign engineer
SLA-00097,J-00097,SH-00097,2026-06-16T07:00,2026-06-16T08:20,Medium,0.31,Expedite shipment
SLA-00098,J-00098,SH-00098,2026-06-18T15:00,2026-06-18T17:40,High,0.77,Expedite shipment
SLA-00099,J-00099,SH-00099,2026-06-02T00:00,2026-06-02T00:34,Low,0.13,Reassign engineer
SLA-00100,J-00100,SH-00100,2026-06-05T03:00,2026-06-05T04:31,Medium,0.5,Pre-position part
SLA-00101,J-00101,SH-00101,2026-06-04T21:00,2026-06-05T00:12,High,0.74,Reassign engineer
SLA-00102,J-00102,SH-00102,2026-06-20T07:00,2026-06-20T08:47,Medium,0.41,Pre-position part
SLA-00103,J-00103,SH-00103,2026-06-22T15:00,2026-06-22T19:11,High,0.96,Switch carrier
SLA-00104,J-00104,SH-00104,2026-06-15T00:00,2026-06-15T00:06,Low,0.04,Pre-position part
SLA-00105,J-00105,SH-00105,2026-06-20T15:00,2026-06-20T17:36,High,0.75,Pre-position part
SLA-00106,J-00106,SH-00106,2026-06-21T22:00,2026-06-21T22:43,Low,0.17,Expedite shipment
SLA-00107,J-00107,SH-00107,2026-06-04T17:00,2026-06-04T20:36,High,0.83,Expedite shipment
SLA-00108,J-00108,SH-00108,2026-06-16T17:00,2026-06-16T17:00,Low,0.04,Pre-position part
SLA-00109,J-00109,SH-00109,2026-06-18T11:00,2026-06-18T16:07,High,0.96,Reassign engineer
SLA-00110,J-00110,SH-00110,2026-06-12T17:00,2026-06-12T20:04,High,0.86,Expedite shipment
SLA-00111,J-00111,SH-00111,2026-06-18T06:00,2026-06-18T06:00,Low,0.04,Expedite shipment
SLA-00112,J-00112,SH-00112,2026-06-22T05:00,2026-06-22T05:14,Low,0.05,Reassign engineer
SLA-00113,J-00113,SH-00113,2026-06-09T20:00,2026-06-09T21:36,Medium,0.37,Expedite shipment
SLA-00114,J-00114,SH-00114,2026-06-18T02:00,2026-06-18T05:38,High,0.84,Pre-position part
SLA-00115,J-00115,SH-00115,2026-06-18T12:00,2026-06-18T12:44,Medium,0.32,Switch carrier
SLA-00116,J-00116,SH-00116,2026-06-03T09:00,2026-06-03T09:00,Low,0.04,Pre-position part
SLA-00117,J-00117,SH-00117,2026-06-02T18:00,2026-06-02T18:29,Low,0.11,Expedite shipment
SLA-00118,J-00118,SH-00118,2026-06-05T05:00,2026-06-05T05:00,Low,0.15,Switch carrier
SLA-00119,J-00119,SH-00119,2026-06-08T04:00,2026-06-08T05:13,Medium,0.28,Switch carrier
SLA-00120,J-00120,SH-00120,2026-06-11T21:00,2026-06-11T22:07,Medium,0.41,Pre-position part
SLA-00121,J-00121,SH-00121,2026-06-20T14:00,2026-06-20T16:07,Medium,0.49,Pre-position part
SLA-00122,J-00122,SH-00122,2026-06-03T21:00,2026-06-03T21:25,Low,0.1,Reassign engineer
SLA-00123,J-00123,SH-00123,2026-06-09T19:00,2026-06-09T23:51,High,0.96,Pre-position part
SLA-00124,J-00124,SH-00124,2026-06-09T06:00,2026-06-09T06:00,Low,0.15,Reassign engineer
SLA-00125,J-00125,SH-00125,2026-06-06T06:00,2026-06-06T07:02,Low,0.24,Switch carrier
SLA-00126,J-00126,SH-00126,2026-06-11T17:00,2026-06-11T18:01,Medium,0.38,Switch carrier
SLA-00127,J-00127,SH-00127,2026-06-23T02:00,2026-06-23T02:00,Low,0.04,Reassign engineer
SLA-00128,J-00128,SH-00128,2026-06-19T06:00,2026-06-19T06:00,Low,0.04,Expedite shipment
SLA-00129,J-00129,SH-00129,2026-06-05T01:00,2026-06-05T01:16,Low,0.21,Switch carrier
SLA-00130,J-00130,SH-00130,2026-06-10T15:00,2026-06-10T15:00,Low,0.04,Reassign engineer
SLA-00131,J-00131,SH-00131,2026-06-11T15:00,2026-06-11T15:00,Low,0.04,Pre-position part
SLA-00132,J-00132,SH-00132,2026-06-15T01:00,2026-06-15T01:16,Low,0.06,Pre-position part
SLA-00133,J-00133,SH-00133,2026-06-12T10:00,2026-06-12T10:00,Low,0.04,Reassign engineer
SLA-00134,J-00134,SH-00134,2026-06-19T09:00,2026-06-19T09:33,Low,0.13,Expedite shipment
SLA-00135,J-00135,SH-00135,2026-06-21T09:00,2026-06-21T09:38,Low,0.15,Pre-position part
SLA-00136,J-00136,SH-00136,2026-06-07T19:00,2026-06-07T22:26,High,0.79,Pre-position part
SLA-00137,J-00137,SH-00137,2026-06-19T00:00,2026-06-19T02:35,High,0.6,Pre-position part
SLA-00138,J-00138,SH-00138,2026-06-05T09:00,2026-06-05T12:53,High,0.9,Switch carrier
SLA-00139,J-00139,SH-00139,2026-06-13T19:00,2026-06-13T20:07,Medium,0.41,Pre-position part
SLA-00140,J-00140,SH-00140,2026-06-14T03:00,2026-06-14T03:36,Low,0.14,Expedite shipment
SLA-00141,J-00141,SH-00141,2026-06-16T13:00,2026-06-16T13:00,Low,0.04,Pre-position part
SLA-00142,J-00142,SH-00142,2026-06-08T03:00,2026-06-08T04:31,Medium,0.35,Reassign engineer
SLA-00143,J-00143,SH-00143,2026-06-12T05:00,2026-06-12T05:19,Low,0.07,Pre-position part
SLA-00144,J-00144,SH-00144,2026-06-18T03:00,2026-06-18T03:48,Low,0.18,Reassign engineer
SLA-00145,J-00145,SH-00145,2026-06-17T16:00,2026-06-17T16:00,Low,0.04,Switch carrier
SLA-00146,J-00146,SH-00146,2026-06-10T12:00,2026-06-10T13:00,Low,0.23,Reassign engineer
SLA-00147,J-00147,SH-00147,2026-06-14T22:00,2026-06-14T22:00,Low,0.04,Switch carrier
SLA-00148,J-00148,SH-00148,2026-06-14T15:00,2026-06-14T15:13,Low,0.2,Expedite shipment
SLA-00149,J-00149,SH-00149,2026-06-23T02:00,2026-06-23T02:55,Medium,0.36,Reassign engineer
SLA-00150,J-00150,SH-00150,2026-06-21T07:00,2026-06-21T07:46,Low,0.18,Expedite shipment
SLA-00151,J-00151,SH-00151,2026-06-10T02:00,2026-06-10T02:00,Low,0.04,Reassign engineer
SLA-00152,J-00152,SH-00152,2026-06-17T19:00,2026-06-17T19:07,Low,0.18,Pre-position part
SLA-00153,J-00153,SH-00153,2026-06-10T11:00,2026-06-10T11:00,Low,0.15,Pre-position part
SLA-00154,J-00154,SH-00154,2026-06-06T10:00,2026-06-06T10:00,Low,0.04,Pre-position part
SLA-00155,J-00155,SH-00155,2026-06-05T21:00,2026-06-05T21:00,Low,0.15,Reassign engineer
SLA-00156,J-00156,SH-00156,2026-06-11T15:00,2026-06-11T15:00,Low,0.04,Expedite shipment
SLA-00157,J-00157,SH-00157,2026-06-05T01:00,2026-06-05T01:36,Medium,0.29,Reassign engineer
SLA-00158,J-00158,SH-00158,2026-06-09T01:00,2026-06-09T02:32,Medium,0.35,Switch carrier
SLA-00159,J-00159,SH-00159,2026-06-14T23:00,2026-06-15T01:41,High,0.77,Expedite shipment
SLA-00160,J-00160,SH-00160,2026-06-17T16:00,2026-06-17T16:46,Low,0.18,Pre-position part
SLA-00161,J-00161,SH-00161,2026-06-22T21:00,2026-06-23T00:27,High,0.8,Pre-position part
SLA-00162,J-00162,SH-00162,2026-06-16T06:00,2026-06-16T06:00,Low,0.04,Reassign engineer
SLA-00163,J-00163,SH-00163,2026-06-17T01:00,2026-06-17T01:00,Low,0.15,Reassign engineer
SLA-00164,J-00164,SH-00164,2026-06-23T03:00,2026-06-23T03:00,Low,0.04,Pre-position part
SLA-00165,J-00165,SH-00165,2026-06-12T10:00,2026-06-12T11:24,Medium,0.32,Expedite shipment
SLA-00166,J-00166,SH-00166,2026-06-22T10:00,2026-06-22T10:55,Low,0.21,Pre-position part
SLA-00167,J-00167,SH-00167,2026-06-12T04:00,2026-06-12T05:25,Medium,0.33,Pre-position part
SLA-00168,J-00168,SH-00168,2026-06-16T07:00,2026-06-16T07:36,Low,0.14,Reassign engineer
SLA-00169,J-00169,SH-00169,2026-06-07T08:00,2026-06-07T08:41,Low,0.16,Pre-position part
SLA-00170,J-00170,SH-00170,2026-06-08T23:00,2026-06-08T23:08,Low,0.04,Pre-position part
SLA-00171,J-00171,SH-00171,2026-06-06T21:00,2026-06-06T21:31,Low,0.12,Reassign engineer
SLA-00172,J-00172,SH-00172,2026-06-04T23:00,2026-06-05T02:17,High,0.76,Pre-position part
SLA-00173,J-00173,SH-00173,2026-06-09T12:00,2026-06-09T12:21,Low,0.08,Expedite shipment
SLA-00174,J-00174,SH-00174,2026-06-21T06:00,2026-06-21T06:33,Low,0.28,Pre-position part
SLA-00175,J-00175,SH-00175,2026-06-07T07:00,2026-06-07T10:18,High,0.76,Reassign engineer
SLA-00176,J-00176,SH-00176,2026-06-21T20:00,2026-06-21T21:16,Medium,0.29,Pre-position part
SLA-00177,J-00177,SH-00177,2026-06-22T12:00,2026-06-22T15:36,High,0.83,Switch carrier
SLA-00178,J-00178,SH-00178,2026-06-21T07:00,2026-06-21T07:00,Low,0.04,Reassign engineer
SLA-00179,J-00179,SH-00179,2026-06-21T05:00,2026-06-21T08:17,High,0.76,Pre-position part
SLA-00180,J-00180,SH-00180,2026-06-08T02:00,2026-06-08T05:59,High,0.96,Switch carrier
SLA-00181,J-00181,SH-00181,2026-06-04T12:00,2026-06-04T12:56,Low,0.22,Reassign engineer
SLA-00182,J-00182,SH-00182,2026-06-20T22:00,2026-06-20T23:38,Medium,0.38,Pre-position part
SLA-00183,J-00183,SH-00183,2026-06-08T10:00,2026-06-08T10:32,Low,0.12,Reassign engineer
SLA-00184,J-00184,SH-00184,2026-06-10T23:00,2026-06-10T23:25,Low,0.1,Expedite shipment
SLA-00185,J-00185,SH-00185,2026-06-16T06:00,2026-06-16T06:42,Medium,0.31,Reassign engineer
SLA-00186,J-00186,SH-00186,2026-06-15T04:00,2026-06-15T04:12,Low,0.2,Expedite shipment
SLA-00187,J-00187,SH-00187,2026-06-22T23:00,2026-06-22T23:00,Low,0.04,Switch carrier
SLA-00188,J-00188,SH-00188,2026-06-17T04:00,2026-06-17T06:39,High,0.61,Switch carrier
SLA-00189,J-00189,SH-00189,2026-06-14T08:00,2026-06-14T09:12,Low,0.28,Switch carrier
SLA-00190,J-00190,SH-00190,2026-06-06T02:00,2026-06-06T02:00,Low,0.04,Expedite shipment
SLA-00191,J-00191,SH-00191,2026-06-04T23:00,2026-06-05T01:35,High,0.6,Reassign engineer
SLA-00192,J-00192,SH-00192,2026-06-07T22:00,2026-06-07T23:42,Medium,0.39,Reassign engineer
SLA-00193,J-00193,SH-00193,2026-06-06T19:00,2026-06-06T19:00,Low,0.04,Reassign engineer
SLA-00194,J-00194,SH-00194,2026-06-09T12:00,2026-06-09T12:03,Low,0.16,Reassign engineer
SLA-00195,J-00195,SH-00195,2026-06-21T19:00,2026-06-21T19:00,Low,0.15,Switch carrier
SLA-00196,J-00196,SH-00196,2026-06-01T21:00,2026-06-01T22:50,Medium,0.42,Pre-position part
SLA-00197,J-00197,SH-00197,2026-06-08T11:00,2026-06-08T11:49,Low,0.19,Switch carrier
SLA-00198,J-00198,SH-00198,2026-06-12T14:00,2026-06-12T14:00,Low,0.04,Reassign engineer
SLA-00199,J-00199,SH-00199,2026-06-09T18:00,2026-06-09T18:22,Low,0.08,Expedite shipment
SLA-00200,J-00200,SH-00200,2026-06-15T22:00,2026-06-16T01:55,High,0.96,Reassign engineer
SLA-00201,J-00201,SH-00201,2026-06-13T07:00,2026-06-13T09:47,High,0.64,Reassign engineer
SLA-00202,J-00202,SH-00202,2026-06-16T06:00,2026-06-16T07:01,Low,0.23,Expedite shipment
SLA-00203,J-00203,SH-00203,2026-06-14T18:00,2026-06-14T18:00,Low,0.15,Switch carrier
SLA-00204,J-00204,SH-00204,2026-06-17T21:00,2026-06-17T21:00,Low,0.04,Reassign engineer
SLA-00205,J-00205,SH-00205,2026-06-12T04:00,2026-06-12T04:00,Low,0.04,Expedite shipment
SLA-00206,J-00206,SH-00206,2026-06-18T21:00,2026-06-18T21:00,Low,0.04,Switch carrier
SLA-00207,J-00207,SH-00207,2026-06-13T11:00,2026-06-13T11:19,Low,0.07,Pre-position part
SLA-00208,J-00208,SH-00208,2026-06-16T14:00,2026-06-16T14:00,Low,0.15,Reassign engineer
SLA-00209,J-00209,SH-00209,2026-06-15T19:00,2026-06-15T19:00,Low,0.04,Expedite shipment
SLA-00210,J-00210,SH-00210,2026-06-10T19:00,2026-06-10T19:47,Low,0.18,Switch carrier
SLA-00211,J-00211,SH-00211,2026-06-21T17:00,2026-06-21T17:42,Low,0.16,Reassign engineer
SLA-00212,J-00212,SH-00212,2026-06-14T02:00,2026-06-14T03:00,Medium,0.38,Switch carrier
SLA-00213,J-00213,SH-00213,2026-06-06T22:00,2026-06-06T22:21,Low,0.08,Reassign engineer
SLA-00214,J-00214,SH-00214,2026-06-15T13:00,2026-06-15T14:30,Medium,0.35,Expedite shipment
SLA-00215,J-00215,SH-00215,2026-06-02T19:00,2026-06-02T20:06,Medium,0.4,Pre-position part
SLA-00216,J-00216,SH-00216,2026-06-18T05:00,2026-06-18T05:00,Low,0.04,Switch carrier
SLA-00217,J-00217,SH-00217,2026-06-07T02:00,2026-06-07T02:00,Low,0.04,Pre-position part
SLA-00218,J-00218,SH-00218,2026-06-21T19:00,2026-06-21T19:00,Low,0.15,Expedite shipment
SLA-00219,J-00219,SH-00219,2026-06-05T03:00,2026-06-05T03:40,Low,0.15,Expedite shipment
SLA-00220,J-00220,SH-00220,2026-06-05T17:00,2026-06-05T17:00,Low,0.04,Switch carrier
SLA-00221,J-00221,SH-00221,2026-06-19T17:00,2026-06-19T17:00,Low,0.04,Switch carrier
SLA-00222,J-00222,SH-00222,2026-06-13T16:00,2026-06-13T18:19,Medium,0.53,Switch carrier
SLA-00223,J-00223,SH-00223,2026-06-14T15:00,2026-06-14T15:27,Low,0.1,Expedite shipment
SLA-00224,J-00224,SH-00224,2026-06-19T06:00,2026-06-19T08:11,Medium,0.5,Expedite shipment
SLA-00225,J-00225,SH-00225,2026-06-06T01:00,2026-06-06T01:23,Low,0.24,Reassign engineer
SLA-00226,J-00226,SH-00226,2026-06-15T00:00,2026-06-15T02:30,High,0.73,Reassign engineer
SLA-00227,J-00227,SH-00227,2026-06-10T09:00,2026-06-10T09:53,Low,0.2,Switch carrier
SLA-00228,J-00228,SH-00228,2026-06-09T05:00,2026-06-09T06:29,Medium,0.49,Reassign engineer
SLA-00229,J-00229,SH-00229,2026-06-10T05:00,2026-06-10T05:59,Low,0.23,Pre-position part
SLA-00230,J-00230,SH-00230,2026-06-17T03:00,2026-06-17T04:11,Low,0.27,Reassign engineer
SLA-00231,J-00231,SH-00231,2026-06-18T23:00,2026-06-18T23:41,Low,0.16,Expedite shipment
SLA-00232,J-00232,SH-00232,2026-06-05T11:00,2026-06-05T12:01,Low,0.23,Switch carrier
SLA-00233,J-00233,SH-00233,2026-06-14T11:00,2026-06-14T11:35,Medium,0.28,Switch carrier
SLA-00234,J-00234,SH-00234,2026-06-04T15:00,2026-06-04T15:00,Low,0.04,Reassign engineer
SLA-00235,J-00235,SH-00235,2026-06-02T21:00,2026-06-02T21:33,Low,0.13,Reassign engineer
SLA-00236,J-00236,SH-00236,2026-06-15T01:00,2026-06-15T03:49,High,0.65,Expedite shipment
SLA-00237,J-00237,SH-00237,2026-06-19T07:00,2026-06-19T07:33,Low,0.28,Pre-position part
SLA-00238,J-00238,SH-00238,2026-06-22T04:00,2026-06-22T06:05,Medium,0.48,Switch carrier
SLA-00239,J-00239,SH-00239,2026-06-02T14:00,2026-06-02T15:37,Medium,0.52,Pre-position part
SLA-00240,J-00240,SH-00240,2026-06-23T02:00,2026-06-23T03:27,Medium,0.33,Reassign engineer
SLA-00241,J-00241,SH-00241,2026-06-15T02:00,2026-06-15T03:04,Low,0.25,Expedite shipment
SLA-00242,J-00242,SH-00242,2026-06-20T02:00,2026-06-20T02:00,Low,0.04,Switch carrier
SLA-00243,J-00243,SH-00243,2026-06-08T10:00,2026-06-08T10:30,Low,0.12,Expedite shipment
SLA-00244,J-00244,SH-00244,2026-06-05T07:00,2026-06-05T11:10,High,0.96,Switch carrier
SLA-00245,J-00245,SH-00245,2026-06-16T20:00,2026-06-16T21:51,Medium,0.43,Pre-position part
SLA-00246,J-00246,SH-00246,2026-06-03T22:00,2026-06-03T23:00,Low,0.23,Pre-position part
SLA-00247,J-00247,SH-00247,2026-06-05T07:00,2026-06-05T07:29,Low,0.11,Expedite shipment
SLA-00248,J-00248,SH-00248,2026-06-22T01:00,2026-06-22T02:10,Medium,0.42,Reassign engineer
SLA-00249,J-00249,SH-00249,2026-06-09T04:00,2026-06-09T04:01,Low,0.04,Reassign engineer
SLA-00250,J-00250,SH-00250,2026-06-12T19:00,2026-06-12T22:51,High,0.89,Expedite shipment
SLA-00251,J-00251,SH-00251,2026-06-03T22:00,2026-06-03T22:17,Low,0.07,Switch carrier
SLA-00252,J-00252,SH-00252,2026-06-11T02:00,2026-06-11T02:18,Low,0.22,Expedite shipment
SLA-00253,J-00253,SH-00253,2026-06-06T00:00,2026-06-06T00:00,Low,0.04,Expedite shipment
SLA-00254,J-00254,SH-00254,2026-06-05T07:00,2026-06-05T07:00,Low,0.04,Reassign engineer
