date,region,weather_condition,temperature,storm_risk,snow_risk,travel_disruption_score
2026-06-08,Midlands,Snow,17,17,20,58
2026-06-08,North,Wind,0,66,13,8
2026-06-08,South,Fog,16,38,10,31
2026-06-09,Scotland,Clear,1,8,1,33
2026-06-09,Wales,Rain,17,32,0,93
2026-06-09,London,Clear,6,32,15,16
2026-06-09,Midlands,Storm,3,73,7,36
2026-06-09,North,Wind,12,74,1,46
2026-06-09,South,Snow,23,4,4,74
2026-06-10,Scotland,Fog,-1,7,11,32
2026-06-10,Wales,Rain,13,17,6,46
2026-06-10,London,Storm,13,6,4,86
2026-06-10,Midlands,Fog,13,31,5,70
2026-06-10,North,Storm,1,44,12,51
2026-06-10,South,Snow,12,39,47,64
2026-06-11,Scotland,Fog,17,18,11,68
2026-06-11,Wales,Wind,17,47,18,52
2026-06-11,London,Wind,-1,47,10,88
2026-06-11,Midlands,Rain,21,40,12,22
2026-06-11,North,Snow,21,40,10,61
2026-06-11,South,Clear,8,32,11,41
2026-06-12,Scotland,Clear,16,14,11,25
2026-06-12,Wales,Fog,9,8,11,23
2026-06-12,London,Clear,13,33,16,25
2026-06-12,Midlands,Clear,11,20,3,13
2026-06-12,North,Snow,19,11,11,43
2026-06-12,South,Wind,14,41,9,45
2026-06-13,Scotland,Rain,0,13,1,90
2026-06-13,Wales,Rain,14,40,12,84
2026-06-13,London,Wind,13,29,0,70
2026-06-13,Midlands,Fog,23,35,4,43
2026-06-13,North,Clear,5,23,7,27
2026-06-13,South,Fog,1,10,9,41
2026-06-14,Scotland,Clear,22,11,18,30
2026-06-14,Wales,Storm,6,41,0,78
2026-06-14,London,Wind,1,26,2,75
2026-06-14,Midlands,Clear,10,10,11,66
2026-06-14,North,Snow,9,37,72,12
2026-06-14,South,Fog,-1,18,15,82
2026-06-15,Scotland,Wind,1,21,7,24
2026-06-15,Wales,Wind,8,56,0,16
2026-06-15,London,Snow,18,5,14,31
2026-06-15,Midlands,Wind,22,33,8,69
2026-06-15,North,Fog,10,30,2,30
2026-06-15,South,Rain,18,39,13,93
2026-06-16,Scotland,Rain,13,27,17,58
2026-06-16,Wales,Clear,4,31,7,42
2026-06-16,London,Rain,2,7,4,8
2026-06-16,Midlands,Rain,18,5,6,69
2026-06-16,North,Clear,6,2,2,42
2026-06-16,South,Snow,8,35,4,25
2026-06-17,Scotland,Snow,15,38,6,76
2026-06-17,Wales,Snow,19,33,8,79
2026-06-17,London,Storm,20,56,9,51
2026-06-17,Midlands,Rain,5,7,18,18
2026-06-17,North,Fog,17,37,1,70
2026-06-17,South,Rain,1,13,6,46
2026-06-18,Scotland,Storm,16,93,6,17
2026-06-18,Wales,Storm,3,33,13,85
2026-06-18,London,Storm,14,10,9,94
2026-06-18,Midlands,Clear,14,5,0,88
2026-06-18,North,Rain,21,35,18,16
2026-06-18,South,Snow,2,32,61,42
2026-06-19,Scotland,Clear,9,1,3,35
2026-06-19,Wales,Fog,5,10,0,36
2026-06-19,London,Wind,24,37,18,52
2026-06-19,Midlands,Storm,-1,67,2,37
2026-06-19,North,Snow,14,25,44,12
2026-06-19,South,Fog,14,29,11,95
2026-06-20,Scotland,Rain,10,29,4,33
2026-06-20,Wales,Clear,11,13,3,55
2026-06-20,London,Clear,5,31,16,14
2026-06-20,Midlands,Clear,19,3,10,93
2026-06-20,North,Storm,-1,28,18,83
2026-06-20,South,Storm,23,30,1,59
2026-06-21,Scotland,Storm,13,6,0,49
2026-06-21,Wales,Snow,18,17,51,81
2026-06-21,London,Storm,11,91,7,22
2026-06-21,Midlands,Rain,5,29,1,8
2026-06-21,North,Storm,2,91,10,71
2026-06-21,South,Clear,24,1,18,68
