transport_id,vehicle_id,carrier_id,route_id,depot_id,driver_id,distance_miles,planned_duration,actual_duration,fuel_cost,total_cost,capacity_utilization,empty_miles,CO2_emission
T-00038,VH-0024,C-006,R-070,D-LON,DR-0181,287,7.9,10.5,125.37,1252.22,65,10,294.6
T-00039,VH-0009,C-004,R-053,D-STH,DR-0148,206,6.0,6.6,110.8,609.23,61,42,132.8
T-00040,VH-0135,C-006,R-027,D-WAL,DR-0160,34,0.8,1.5,14.01,195.05,50,9,25.7
T-00041,VH-0145,C-002,R-025,D-STH,DR-0174,103,2.0,3.8,41.41,465.12,76,1,91.5
T-00042,VH-0169,C-006,R-017,D-STH,DR-0080,209,5.3,5.3,68.1,889.51,90,39,129.0
T-00043,VH-0137,C-004,R-007,D-LON,DR-0194,245,5.6,7.8,127.09,681.52,78,16,255.5
T-00044,VH-0088,C-004,R-014,D-MID,DR-0209,362,8.6,10.3,181.16,930.7,69,100,289.4
T-00045,VH-0076,C-005,R-058,D-LON,DR-0095,201,5.1,5.3,111.41,422.62,45,0,221.3
T-00046,VH-0061,C-004,R-055,D-STH,DR-0129,161,4.5,5.8,62.79,476.14,76,36,149.0
T-00047,VH-0039,C-001,R-038,D-STH,DR-0115,193,5.4,6.0,80.31,765.16,53,33,220.3
T-00048,VH-0164,C-006,R-050,D-NTH,DR-0217,41,1.0,2.1,17.72,167.25,83,13,47.0
T-00049,VH-0170,C-001,R-012,D-LON,DR-0164,178,4.4,4.5,77.95,661.43,59,49,132.0
T-00050,VH-0177,C-006,R-050,D-SCO,DR-0032,41,1.0,2.1,19.17,166.69,64,5,22.6
T-00051,VH-0010,C-003,R-064,D-STH,DR-0037,214,5.0,5.3,95.68,811.61,43,60,246.3
T-00052,VH-0023,C-005,R-022,D-STH,DR-0167,268,6.6,8.5,127.13,451.43,60,53,178.7
T-00053,VH-0114,C-004,R-033,D-WAL,DR-0149,267,6.5,6.3,108.07,815.41,54,86,302.2
T-00054,VH-0106,C-002,R-015,D-WAL,DR-0126,277,5.8,7.7,150.74,1136.83,55,75,193.7
T-00055,VH-0070,C-005,R-004,D-STH,DR-0157,404,10.6,15.0,186.26,824.57,92,53,334.0
T-00056,VH-0071,C-003,R-058,D-LON,DR-0179,201,5.1,5.3,72.05,703.06,51,26,124.8
T-00057,VH-0144,C-004,R-022,D-STH,DR-0009,268,6.6,8.5,132.14,629.86,64,18,179.5
T-00058,VH-0155,C-005,R-025,D-WAL,DR-0131,103,2.0,3.8,58.22,180.17,84,23,89.5
T-00059,VH-0127,C-004,R-035,D-WAL,DR-0190,338,6.5,8.3,148.89,802.08,43,101,314.5
T-00060,VH-0091,C-001,R-066,D-MID,DR-0004,289,5.9,7.0,102.77,1362.94,60,47,259.3
T-00061,VH-0111,C-002,R-039,D-LON,DR-0051,213,5.3,7.3,74.13,842.5,92,65,184.2
T-00062,VH-0093,C-006,R-014,D-STH,DR-0074,362,8.6,10.3,168.28,1609.4,44,10,315.8
T-00063,VH-0104,C-001,R-047,D-SCO,DR-0131,24,0.6,0.9,9.42,112.2,91,7,23.6
T-00064,VH-0144,C-005,R-039,D-MID,DR-0130,213,5.3,7.3,71.25,414.65,58,63,182.2
T-00065,VH-0177,C-004,R-055,D-STH,DR-0053,161,4.5,5.8,65.58,500.72,74,51,139.7
T-00066,VH-0120,C-006,R-070,D-NTH,DR-0164,287,7.9,10.5,131.59,1386.02,81,55,197.6
T-00067,VH-0105,C-003,R-018,D-NTH,DR-0172,391,9.2,11.3,191.95,1779.15,47,101,435.4
T-00068,VH-0066,C-001,R-007,D-NTH,DR-0024,245,5.6,7.8,138.04,1210.79,90,30,282.5
T-00069,VH-0147,C-002,R-053,D-MID,DR-0006,206,6.0,6.6,116.7,1042.13,77,29,230.6
T-00070,VH-0153,C-004,R-032,D-NTH,DR-0019,90,2.1,4.0,31.03,199.0,45,1,74.3
T-00071,VH-0067,C-005,R-034,D-MID,DR-0181,155,3.1,4.3,68.43,308.9,49,31,88.9
T-00072,VH-0155,C-004,R-035,D-SCO,DR-0024,338,6.5,8.3,143.21,845.35,53,30,201.4
T-00073,VH-0033,C-005,R-044,D-STH,DR-0077,48,1.1,2.1,25.86,98.06,75,13,31.0
T-00074,VH-0168,C-004,R-034,D-SCO,DR-0118,155,3.1,4.3,77.48,378.29,97,42,86.6
T-00075,VH-0174,C-004,R-007,D-SCO,DR-0060,245,5.6,7.8,123.9,705.82,75,2,250.1
T-00076,VH-0067,C-004,R-017,D-NTH,DR-0174,209,5.3,5.3,75.5,612.97,94,64,163.7
T-00077,VH-0106,C-004,R-001,D-SCO,DR-0118,261,5.1,5.7,148.11,661.37,75,87,279.6
T-00078,VH-0163,C-003,R-011,D-MID,DR-0006,188,4.7,5.3,61.52,742.33,92,34,145.0
T-00079,VH-0126,C-001,R-008,D-STH,DR-0107,199,4.9,8.3,106.3,889.38,51,64,229.9
T-00080,VH-0156,C-006,R-063,D-MID,DR-0196,113,2.3,3.7,40.23,538.87,82,29,115.0
T-00081,VH-0037,C-005,R-042,D-MID,DR-0066,348,8.0,7.5,180.88,660.37,51,39,229.4
T-00082,VH-0078,C-005,R-053,D-WAL,DR-0105,206,6.0,6.6,89.81,460.45,96,64,218.4
T-00083,VH-0085,C-004,R-027,D-LON,DR-0178,34,0.8,1.5,12.06,105.55,42,9,39.9
T-00084,VH-0050,C-003,R-005,D-STH,DR-0190,33,0.9,2.1,15.41,116.36,85,9,21.8
T-00085,VH-0086,C-002,R-026,D-WAL,DR-0204,305,8.2,9.0,116.37,1533.98,46,99,332.8
T-00086,VH-0152,C-005,R-013,D-MID,DR-0147,76,1.8,3.5,26.81,146.23,74,8,77.0
T-00087,VH-0011,C-002,R-009,D-SCO,DR-0057,284,7.8,10.0,158.81,1448.0,82,28,240.1
T-00088,VH-0095,C-002,R-026,D-NTH,DR-0170,305,8.2,9.0,111.19,1545.2,75,79,258.2
T-00089,VH-0097,C-006,R-048,D-WAL,DR-0041,78,2.2,2.3,43.93,402.73,65,8,58.4
T-00090,VH-0073,C-001,R-047,D-NTH,DR-0201,24,0.6,0.9,13.9,95.08,67,0,25.2
T-00091,VH-0099,C-004,R-069,D-MID,DR-0122,187,5.1,5.7,65.12,580.12,78,61,110.6
T-00092,VH-0155,C-004,R-061,D-MID,DR-0135,223,5.9,6.3,90.43,594.22,78,62,242.2
T-00093,VH-0169,C-001,R-060,D-MID,DR-0183,302,6.2,7.5,171.24,1135.03,50,60,182.3
T-00094,VH-0110,C-002,R-013,D-LON,DR-0060,76,1.8,3.5,28.54,383.14,64,10,61.3
T-00095,VH-0063,C-006,R-062,D-WAL,DR-0021,187,4.6,5.6,62.75,919.03,65,31,154.9
T-00096,VH-0121,C-003,R-022,D-SCO,DR-0109,268,6.6,8.5,120.97,979.16,89,55,213.2
T-00097,VH-0090,C-004,R-052,D-WAL,DR-0182,162,3.7,5.6,72.42,367.29,86,23,170.3
T-00098,VH-0102,C-003,R-039,D-STH,DR-0079,213,5.3,7.3,68.52,902.76,52,62,146.2
T-00099,VH-0155,C-001,R-044,D-WAL,DR-0195,48,1.1,2.1,18.68,191.31,73,15,26.6
T-00100,VH-0115,C-004,R-061,D-LON,DR-0124,223,5.9,6.3,109.78,669.73,57,31,190.3
T-00101,VH-0152,C-003,R-025,D-MID,DR-0028,103,2.0,3.8,43.55,377.39,76,29,101.1
T-00102,VH-0075,C-003,R-025,D-MID,DR-0054,103,2.0,3.8,38.8,454.99,89,12,103.2
T-00103,VH-0026,C-001,R-063,D-NTH,DR-0017,113,2.3,3.7,57.13,522.92,97,34,104.1
T-00104,VH-0091,C-005,R-022,D-WAL,DR-0138,268,6.6,8.5,121.34,604.93,86,12,201.9
T-00105,VH-0017,C-005,R-066,D-NTH,DR-0164,289,5.9,7.0,99.17,655.81,63,34,262.0
T-00106,VH-0059,C-003,R-032,D-NTH,DR-0163,90,2.1,4.0,48.88,412.27,61,13,101.1
T-00107,VH-0076,C-002,R-023,D-NTH,DR-0055,379,9.6,13.3,121.5,1526.01,82,72,282.2
T-00108,VH-0085,C-001,R-057,D-LON,DR-0042,157,3.7,5.3,77.43,564.4,72,42,129.3
T-00109,VH-0024,C-004,R-014,D-LON,DR-0098,362,8.6,10.3,154.17,837.17,61,89,344.2
T-00110,VH-0167,C-003,R-063,D-NTH,DR-0054,113,2.3,3.7,53.33,471.11,47,6,89.4
T-00111,VH-0056,C-002,R-051,D-WAL,DR-0179,57,1.1,2.4,18.37,248.67,92,16,37.3
T-00112,VH-0155,C-003,R-008,D-WAL,DR-0053,199,4.9,8.3,105.94,692.93,56,41,190.5
T-00113,VH-0079,C-002,R-011,D-NTH,DR-0123,188,4.7,5.3,67.71,866.95,45,34,203.0
T-00114,VH-0068,C-002,R-055,D-STH,DR-0205,161,4.5,5.8,54.72,831.28,42,9,157.8
T-00115,VH-0090,C-005,R-054,D-NTH,DR-0218,18,0.4,1.7,9.73,33.51,91,6,10.6
T-00116,VH-0059,C-001,R-020,D-SCO,DR-0041,136,2.7,4.6,53.13,590.48,47,33,119.2
T-00117,VH-0039,C-001,R-040,D-LON,DR-0151,333,6.5,11.0,175.48,1556.98,72,75,357.9
T-00118,VH-0066,C-001,R-064,D-SCO,DR-0167,214,5.0,5.3,119.9,789.34,49,62,254.9
T-00119,VH-0122,C-005,R-063,D-MID,DR-0014,113,2.3,3.7,42.37,231.66,43,27,93.7
T-00120,VH-0116,C-002,R-042,D-MID,DR-0163,348,8.0,7.5,152.02,1581.29,79,12,192.2
T-00121,VH-0009,C-006,R-037,D-STH,DR-0075,353,8.1,10.1,191.13,1802.54,55,28,327.5
T-00122,VH-0033,C-006,R-051,D-WAL,DR-0031,57,1.1,2.4,27.6,326.04,92,12,35.0
T-00123,VH-0093,C-003,R-007,D-MID,DR-0101,245,5.6,7.8,84.81,831.23,92,2,147.1
T-00124,VH-0112,C-003,R-018,D-WAL,DR-0103,391,9.2,11.3,218.89,1412.93,58,44,420.7
T-00125,VH-0056,C-003,R-048,D-LON,DR-0144,78,2.2,2.3,30.6,302.16,80,25,53.7
T-00126,VH-0127,C-001,R-054,D-STH,DR-0032,18,0.4,1.7,9.71,66.71,81,0,21.4
T-00127,VH-0143,C-002,R-053,D-MID,DR-0169,206,6.0,6.6,100.58,1090.6,96,26,124.4
T-00128,VH-0113,C-001,R-061,D-NTH,DR-0095,223,5.9,6.3,77.03,827.87,83,48,171.0
T-00129,VH-0180,C-004,R-051,D-WAL,DR-0123,57,1.1,2.4,29.19,166.77,96,7,50.0
T-00130,VH-0164,C-006,R-063,D-LON,DR-0038,113,2.3,3.7,64.91,516.51,96,14,100.3
T-00131,VH-0091,C-002,R-067,D-STH,DR-0214,312,6.7,10.1,99.89,1180.21,58,17,172.6
T-00132,VH-0178,C-003,R-018,D-NTH,DR-0129,391,9.2,11.3,220.16,1425.49,87,91,348.9
T-00133,VH-0173,C-003,R-013,D-STH,DR-0219,76,1.8,3.5,27.38,315.97,82,9,52.8
T-00134,VH-0119,C-002,R-066,D-SCO,DR-0209,289,5.9,7.0,124.4,1389.62,43,36,309.2
T-00135,VH-0041,C-005,R-024,D-MID,DR-0025,216,4.9,5.5,106.48,488.87,73,60,238.4
T-00136,VH-0048,C-004,R-068,D-STH,DR-0187,114,2.5,5.3,64.87,272.37,88,33,68.0
T-00137,VH-0052,C-003,R-010,D-NTH,DR-0196,171,4.0,6.9,57.36,681.12,55,35,140.9
T-00138,VH-0138,C-001,R-057,D-WAL,DR-0012,157,3.7,5.3,90.69,643.9,42,46,128.5
T-00139,VH-0022,C-002,R-016,D-LON,DR-0072,349,9.8,12.5,189.22,1834.88,66,63,260.1
T-00140,VH-0010,C-003,R-021,D-WAL,DR-0071,20,0.5,1.1,8.28,89.48,84,2,18.4
T-00141,VH-0130,C-006,R-065,D-SCO,DR-0029,275,5.5,7.1,124.54,1572.01,57,26,170.8
T-00142,VH-0032,C-006,R-045,D-WAL,DR-0205,60,1.3,2.0,20.0,282.4,72,16,49.3
T-00143,VH-0142,C-002,R-034,D-STH,DR-0121,155,3.1,4.3,79.54,703.03,50,2,111.8
T-00144,VH-0110,C-004,R-023,D-NTH,DR-0083,379,9.6,13.3,159.13,915.53,90,22,416.4
T-00145,VH-0036,C-002,R-001,D-NTH,DR-0188,261,5.1,5.7,128.9,1194.77,64,10,188.2
T-00146,VH-0126,C-001,R-054,D-STH,DR-0101,18,0.4,1.7,8.56,81.78,76,3,17.7
T-00147,VH-0086,C-003,R-058,D-NTH,DR-0197,201,5.1,5.3,104.35,910.26,46,6,160.1
T-00148,VH-0155,C-003,R-016,D-MID,DR-0025,349,9.8,12.5,178.45,1539.82,92,50,380.3
T-00149,VH-0127,C-003,R-019,D-NTH,DR-0106,52,1.4,2.4,20.85,186.24,63,4,36.5
T-00150,VH-0035,C-003,R-048,D-MID,DR-0135,78,2.2,2.3,39.46,325.41,72,0,90.4
T-00151,VH-0099,C-003,R-052,D-NTH,DR-0148,162,3.7,5.6,84.36,685.88,79,38,157.0
T-00152,VH-0049,C-004,R-057,D-SCO,DR-0096,157,3.7,5.3,57.55,440.0,89,0,149.3
T-00153,VH-0171,C-001,R-070,D-STH,DR-0016,287,7.9,10.5,96.69,1416.02,94,64,233.1
T-00154,VH-0046,C-006,R-025,D-NTH,DR-0067,103,2.0,3.8,51.64,449.25,58,5,115.8
T-00155,VH-0026,C-002,R-061,D-MID,DR-0092,223,5.9,6.3,89.12,951.17,71,69,171.5
T-00156,VH-0053,C-001,R-012,D-SCO,DR-0024,178,4.4,4.5,90.47,682.53,51,43,119.3
T-00157,VH-0124,C-005,R-051,D-LON,DR-0067,57,1.1,2.4,32.45,95.74,68,5,56.4
T-00158,VH-0154,C-003,R-034,D-STH,DR-0095,155,3.1,4.3,59.77,594.03,63,43,90.3
T-00159,VH-0063,C-006,R-039,D-STH,DR-0205,213,5.3,7.3,70.86,1167.49,78,60,191.8
T-00160,VH-0100,C-005,R-050,D-NTH,DR-0104,41,1.0,2.1,13.46,75.9,96,9,27.1
T-00161,VH-0041,C-003,R-047,D-MID,DR-0103,24,0.6,0.9,9.48,95.26,76,5,27.6
T-00162,VH-0041,C-002,R-060,D-MID,DR-0119,302,6.2,7.5,153.34,1513.52,46,0,346.7
T-00163,VH-0163,C-004,R-043,D-NTH,DR-0122,85,1.9,4.0,42.96,209.73,85,9,55.5
T-00164,VH-0085,C-005,R-016,D-WAL,DR-0018,349,9.8,12.5,136.31,779.85,76,108,334.0
T-00165,VH-0029,C-005,R-007,D-STH,DR-0114,245,5.6,7.8,127.92,412.68,54,75,203.2
T-00166,VH-0027,C-004,R-044,D-STH,DR-0077,48,1.1,2.1,26.94,140.13,55,4,42.9
T-00167,VH-0084,C-002,R-033,D-STH,DR-0123,267,6.5,6.3,150.8,1313.86,79,60,189.0
T-00168,VH-0055,C-002,R-012,D-MID,DR-0083,178,4.4,4.5,78.63,824.84,71,23,149.5
T-00169,VH-0148,C-001,R-069,D-NTH,DR-0117,187,5.1,5.7,85.5,881.7,86,47,124.9
T-00170,VH-0113,C-004,R-035,D-SCO,DR-0051,338,6.5,8.3,126.23,1017.53,66,75,196.7
T-00171,VH-0108,C-003,R-006,D-MID,DR-0045,334,8.4,12.4,188.19,1428.44,51,94,362.4
T-00172,VH-0094,C-001,R-054,D-WAL,DR-0172,18,0.4,1.7,9.11,76.45,72,3,17.6
T-00173,VH-0072,C-006,R-005,D-STH,DR-0197,33,0.9,2.1,14.97,144.48,63,5,27.6
T-00174,VH-0163,C-005,R-020,D-WAL,DR-0058,136,2.7,4.6,73.34,253.27,90,45,89.4
T-00175,VH-0117,C-002,R-057,D-MID,DR-0019,157,3.7,5.3,86.17,615.38,90,46,162.2
T-00176,VH-0062,C-005,R-049,D-NTH,DR-0149,273,5.8,11.6,135.1,449.17,80,53,321.7
T-00177,VH-0059,C-003,R-059,D-NTH,DR-0213,185,3.8,6.6,73.91,785.78,88,5,166.5
T-00178,VH-0022,C-001,R-012,D-NTH,DR-0058,178,4.4,4.5,77.44,829.64,44,15,163.9
T-00179,VH-0044,C-003,R-014,D-LON,DR-0144,362,8.6,10.3,158.05,1402.27,83,7,214.3
T-00180,VH-0176,C-004,R-021,D-SCO,DR-0207,20,0.5,1.1,8.52,44.58,86,3,20.1
T-00181,VH-0114,C-005,R-048,D-LON,DR-0160,78,2.2,2.3,25.75,131.23,76,25,50.4
T-00182,VH-0110,C-003,R-068,D-SCO,DR-0112,114,2.5,5.3,47.66,486.72,73,1,132.7
T-00183,VH-0160,C-001,R-049,D-STH,DR-0067,273,5.8,11.6,149.96,1382.47,69,87,256.4
T-00184,VH-0052,C-003,R-022,D-LON,DR-0143,268,6.6,8.5,144.74,972.5,54,16,290.7
T-00185,VH-0005,C-002,R-043,D-WAL,DR-0185,85,1.9,4.0,30.96,393.91,62,11,75.4
T-00186,VH-0100,C-001,R-059,D-SCO,DR-0094,185,3.8,6.6,75.45,896.77,84,25,156.1
T-00187,VH-0006,C-006,R-020,D-LON,DR-0014,136,2.7,4.6,55.24,608.83,47,20,80.6
T-00188,VH-0174,C-005,R-047,D-SCO,DR-0039,24,0.6,0.9,8.37,54.18,92,3,22.9
T-00189,VH-0067,C-001,R-039,D-WAL,DR-0050,213,5.3,7.3,95.23,986.68,59,10,247.7
T-00190,VH-0083,C-001,R-008,D-STH,DR-0136,199,4.9,8.3,73.65,741.05,94,25,119.7
T-00191,VH-0082,C-001,R-008,D-SCO,DR-0092,199,4.9,8.3,102.08,717.24,72,47,143.4
T-00192,VH-0141,C-002,R-024,D-NTH,DR-0059,216,4.9,5.5,79.79,903.82,80,63,252.9
T-00193,VH-0085,C-006,R-048,D-STH,DR-0050,78,2.2,2.3,43.25,349.24,62,25,72.2
T-00194,VH-0180,C-005,R-069,D-LON,DR-0077,187,5.1,5.7,72.53,317.57,51,18,148.6
T-00195,VH-0061,C-005,R-005,D-LON,DR-0194,33,0.9,2.1,13.65,69.5,64,5,29.4
T-00196,VH-0150,C-006,R-051,D-SCO,DR-0002,57,1.1,2.4,23.42,296.23,47,18,39.1
T-00197,VH-0086,C-005,R-039,D-MID,DR-0128,213,5.3,7.3,120.59,426.09,66,41,232.0
T-00198,VH-0031,C-002,R-055,D-STH,DR-0191,161,4.5,5.8,91.39,680.41,92,1,184.3
T-00199,VH-0089,C-006,R-063,D-SCO,DR-0045,113,2.3,3.7,53.21,563.26,65,29,116.2
T-00200,VH-0096,C-004,R-011,D-WAL,DR-0102,188,4.7,5.3,85.73,431.89,94,25,117.7
T-00201,VH-0099,C-006,R-039,D-WAL,DR-0198,213,5.3,7.3,73.59,879.77,86,44,214.2
T-00202,VH-0126,C-001,R-065,D-MID,DR-0116,275,5.5,7.1,108.98,1274.0,52,5,276.1
T-00203,VH-0171,C-004,R-047,D-NTH,DR-0122,24,0.6,0.9,10.18,62.1,57,2,14.6
T-00204,VH-0131,C-003,R-032,D-MID,DR-0195,90,2.1,4.0,30.39,350.27,74,2,88.5
T-00205,VH-0162,C-006,R-044,D-LON,DR-0065,48,1.1,2.1,23.21,234.63,59,9,42.5
T-00206,VH-0127,C-005,R-059,D-SCO,DR-0141,185,3.8,6.6,87.27,330.73,59,32,214.1
T-00207,VH-0057,C-001,R-015,D-MID,DR-0207,277,5.8,7.7,158.24,1230.66,66,26,257.5
T-00208,VH-0128,C-006,R-057,D-WAL,DR-0158,157,3.7,5.3,66.07,643.44,70,38,119.2
T-00209,VH-0010,C-006,R-058,D-SCO,DR-0094,201,5.1,5.3,66.83,869.9,56,11,136.1
T-00210,VH-0044,C-001,R-013,D-NTH,DR-0132,76,1.8,3.5,40.39,335.69,74,16,42.2
T-00211,VH-0038,C-002,R-010,D-SCO,DR-0152,171,4.0,6.9,89.87,723.23,89,8,180.2
T-00212,VH-0144,C-005,R-038,D-NTH,DR-0016,193,5.4,6.0,63.0,320.89,55,47,124.5
T-00213,VH-0121,C-001,R-009,D-NTH,DR-0148,284,7.8,10.0,132.12,1412.77,98,94,337.0
T-00214,VH-0111,C-005,R-047,D-MID,DR-0107,24,0.6,0.9,10.63,40.12,43,5,19.5
T-00215,VH-0158,C-005,R-012,D-WAL,DR-0019,178,4.4,4.5,95.46,406.84,60,8,166.6
T-00216,VH-0017,C-003,R-031,D-LON,DR-0009,402,8.2,10.3,216.55,1701.31,93,64,271.1
T-00217,VH-0117,C-002,R-028,D-LON,DR-0073,205,4.1,8.8,83.33,896.43,68,8,151.4
T-00218,VH-0100,C-001,R-065,D-WAL,DR-0186,275,5.5,7.1,111.49,1191.23,76,83,193.2
T-00219,VH-0134,C-004,R-036,D-STH,DR-0137,158,3.5,4.0,58.54,485.45,90,40,122.0
T-00220,VH-0036,C-005,R-044,D-STH,DR-0067,48,1.1,2.1,25.54,85.6,51,8,56.5
T-00221,VH-0151,C-005,R-039,D-LON,DR-0028,213,5.3,7.3,117.53,476.84,44,60,126.7
T-00222,VH-0001,C-005,R-038,D-LON,DR-0104,193,5.4,6.0,91.4,431.01,89,32,182.1
T-00223,VH-0110,C-004,R-036,D-LON,DR-0122,158,3.5,4.0,82.84,456.82,75,4,115.6
T-00224,VH-0155,C-001,R-042,D-WAL,DR-0145,348,8.0,7.5,143.65,1345.88,66,60,282.3
T-00225,VH-0154,C-002,R-048,D-WAL,DR-0192,78,2.2,2.3,37.72,402.33,90,7,83.7
T-00226,VH-0108,C-003,R-039,D-LON,DR-0022,213,5.3,7.3,110.49,827.54,55,9,233.9
T-00227,VH-0013,C-002,R-007,D-WAL,DR-0220,245,5.6,7.8,117.06,1195.36,98,9,154.9
T-00228,VH-0130,C-001,R-011,D-STH,DR-0075,188,4.7,5.3,96.94,856.96,58,10,185.5
T-00229,VH-0148,C-003,R-067,D-SCO,DR-0187,312,6.7,10.1,103.24,1349.35,87,5,206.1
T-00230,VH-0159,C-002,R-061,D-STH,DR-0076,223,5.9,6.3,113.45,1023.43,75,73,223.6
T-00231,VH-0136,C-003,R-044,D-WAL,DR-0006,48,1.1,2.1,25.0,199.19,88,3,44.4
T-00232,VH-0105,C-005,R-060,D-LON,DR-0186,302,6.2,7.5,102.67,609.54,47,96,173.8
T-00233,VH-0102,C-002,R-051,D-WAL,DR-0123,57,1.1,2.4,23.32,220.58,43,18,39.7
T-00234,VH-0023,C-005,R-013,D-LON,DR-0099,76,1.8,3.5,27.36,171.17,71,2,85.5
T-00235,VH-0017,C-002,R-053,D-NTH,DR-0074,206,6.0,6.6,96.67,990.36,43,57,191.1
T-00236,VH-0134,C-001,R-059,D-MID,DR-0169,185,3.8,6.6,102.35,749.4,90,1,179.9
T-00237,VH-0132,C-003,R-052,D-SCO,DR-0154,162,3.7,5.6,68.3,662.88,98,24,159.4
T-00238,VH-0015,C-004,R-053,D-STH,DR-0115,206,6.0,6.6,113.34,574.56,88,51,165.6
T-00239,VH-0020,C-001,R-021,D-STH,DR-0140,20,0.5,1.1,7.94,75.7,58,4,13.8
T-00240,VH-0140,C-001,R-021,D-NTH,DR-0189,20,0.5,1.1,10.71,87.82,92,5,13.2
T-00241,VH-0045,C-002,R-012,D-LON,DR-0147,178,4.4,4.5,63.38,931.36,78,25,187.0
T-00242,VH-0139,C-004,R-026,D-MID,DR-0220,305,8.2,9.0,147.05,748.76,69,64,265.4
T-00243,VH-0067,C-005,R-038,D-LON,DR-0176,193,5.4,6.0,95.91,422.65,62,23,156.9
